xmin,ymin,xmax,ymax,Object,label
151,466,786,496,Inditex rent Retail India Pyt Ltd,0
146,518,788,539,Ambience Corporate Offie Tower 2,2
154,563,782,587,"Level 8 on Plot No. 3, Unit No. 1",2
414,615,536,641,offjee 1,2
302,660,820,693,"land, R-8, Gursaon 122002,",2
335,716,598,739,"Haryana, India",2
220,759,716,793,CIN U74900HR2009FTC043768,0
291,809,682,843,Tel: 9114 497 3500,0
105,668,258,700,Ambienge,0
361,861,678,890,: 91 124 497 3510,0
346,898,298,866,:x,0
333,918,630,939,"WWw.zareeom/in,",0
262,1014,692,1045,GSJIN: 33AACE1566Q1Z9,0
186,1058,781,1094,Phoenix Marketcity Mall Chennai,0
170,1106,795,1131,"UG-17, Upper Ground Floor Plot in",0
125,1162,847,1185,Northern and Westgr part of old door.,0
227,1212,802,1238,"66 New doorno. 142, Vefachery",0
170,1256,779,1281,Saidapet Taluk TAMIL NAD 600042,0
248,1304,728,1335,Tel: 044-66513700/701/702,0
104,1480,330,1488,Store: 9184.,0
115,1510,650,1534,Date: 2412-2019 Tume: 14:36,6
114,1559,704,1585,Invoice number: 9184-05-S061245,4
115,1607,363,1633,Trans: 213349,0
107,1708,363,1736,TSP CODE QTY,0
747,1735,635,1698,INAONU,0
120,1800,271,1832,SCC 6107,0
117,1852,557,1879,10001547 0850152980324,0
141,1898,407,1934,973.21 Central,0
140,1954,442,1974,973.21 State tax,0
123,1998,285,2030,SCC 6111.,0
131,2045,808,2075,10002577 0850146992018 BABY PYJAMA,8
142,2101,599,2126,973.21 Central tax 6.00,0
119,2161,449,2177,"A 973.21, State tax",0
128,2193,259,2228,SCC 610,0
116,2277,562,2280,10003540 0850151780224,0
139,2294,257,2327,973.21,0
670,1795,854,1823,",090.00 P",0
595,1845,810,1875,BABXJAMA,8
725,1891,827,1926,58.39,0
427,1799,577,1830,"1,090:00",0
735,1945,826,1970,58.4,0
585,1974,562,1948,0,0
585,2029,452,1994,00 060,0
738,2092,830,2118,58.39,0
727,2137,830,2170,58.4,0
628,2188,856,2222,"4,090.00 P,",0
602,2236,816,2271,BABY RYJAMA,8
729,2286,853,2318,58.39/,0
259,2178,371,2222,7 1,0
432,2180,589,2229,"1,090.00",0
278,2308,637,2321,Central tax 6.00.,0
145,2343,447,2371,973.21 State tax,0
591,2369,528,2342,9,0
696,2390,855,2419,890.00 P,0
586,2429,467,2386,00 88,0
607,2435,794,2464,BABY SHIRT,8
739,2340,831,2365,58.4,0
289,2425,130,2392,60 0,0
129,2443,564,2473,10004570 0857460170318,0
148,2497,603,2517,847.62 Central tak 2.50,0
104,2543,604,2567,847.62 State tax 2.50,0
741,2488,833,2513,21.19,0
732,2536,834,2563,21.19,0
137,2589,289,2621,SCC 6205.,0
585,2615,437,2585,00 0601,0
667,2582,857,2617,"1,090.00 P",0
370,2618,361,2591,1,0
129,2643,566,2669,10005533 0857460209624,0
609,2638,796,2665,BABY SHIRT,8
741,2679,845,2714,58.39.,0
152,2686,481,2720,973.21.Central ta,0
152,2734,500,2736,973.21 State ta T,0
128,2786,282,2821,SCC 6111,0
128,2838,286,2875,10006563,0
156,2892,608,2912,"1,241.07 Central Vax6.00",0
179,2934,505,2956,241:07 tate tax-,0
130,2982,290,3017,SUC 6109,0
128,3026,743,3057,10007526 0026473171202 T-SHIRT,8
113,3080,614,3111,657.14 Central tax 2.50,0
152,3127,612,3167,657.14 Statetax1 2.50,0
140,3181,288,3210,SWC 6109,0
606,2712,572,2686,0,0
643,2761,571,2731,"1,00",0
742,2733,835,2759,58.4,0
671,2786,857,2811,"1,390.00 P",0
442,2788,588,2818,"1,390.00",0
309,2834,779,2869,0850155840018 BABY BODY,8
746,2884,838,2909,74.46,0
697,2934,839,2958,74.47,0
742,3080,841,3105,16.43,0
747,3127,848,3156,16.43,0
389,3211,363,3180,1,0
483,3182,594,3210,690,0
387,3221,760,3257,6453150502 T-SHIRI,8
706,3179,861,3203,690.00 P,0
154,3278,614,3310,657.14 Central fax 2.50,0
743,3271,845,3303,16.43,0
149,3332,463,3356,657.14 State tax,0
141,3370,291,3409,SU 6103,0
132,3427,751,3451,10009519 0026473171002 T-SHIRT,8
141,3480,613,3508,657.14 Central tax 2.50,0
157,3524,471,3561,657.14 State tax,0
151,3576,297,3608,SCC 6505,0
151,3623,833,3656,10010549 0024859870T51 BABY BONNET,8
155,3679,619,3706,847.62 Central tax 2.50,0
164,3730,468,3753,847.62 State tax,0
147,3769,613,3802,"ScC 6111 t - 1,390.00",0
136,3825,852,3853,"10011579 0480557071218 BAAY, SWEATER",8
169,3879,623,3898,"1,241.07 Central tax6.00",0
160,3919,632,3953,"1,241.07 State ta 6.00",0
156,3971,300,4004,SCC 6111,0
755,3325,846,3350,16.43,0
604,3406,481,3371,00 069,0
696,3370,828,3404,690,0
759,3474,849,3499,16.43,0
750,3518,846,3554,16.43,0
482,3573,599,3603,890,0
719,3573,869,3599,890.00 P,0
759,3668,877,3700,21.191,0
759,3721,852,3746,21.19,0
685,3765,871,3796,17390.00 P,0
762,3869,854,3894,74.46,0
751,3912,865,3946,"74.47,",0
459,3963,606,4002,"1,090.00",0
868,3994,711,3963,"4,00 060",0
169,4036,857,4049,012542 0006156571212 BABY SWEATER,8
753,4061,860,4097,58.39,0
171,4124,474,4146,973.21 State tax,0
766,4115,858,4140,58.4,0
201,4175,306,4204,6110,0
160,4218,820,4241,10013572 0106700894202 SWEATSHIRT,8
176,4269,641,4294,"1,419.64 Central tax6.00",0
188,4318,644,4346,7419.64 State tax 6.00,0
462,4168,610,4198,"1,590.00",0
683,4201,888,4189,b0.00 P.,0
768,4264,860,4289,85.18,0
745,4310,861,4339,85.18,0
150,4464,252,4503,TOTAL,9
447,4465,491,4498,13,0
678,4461,846,4495,"13,670.00",10
601,4563,845,4588,"INR 13,700.00",
652,4605,853,4637,INA30.00,
179,4569,252,4596,CASH,
154,4620,367,4644,CHANGE CASH,
181,4719,351,4745,Total Net,
222,4760,488,4788,entral tax 6.00,
699,4709,849,4735,"8,767.83",
664,4748,859,4783,"rt526.05,",
694,4849,853,4887,"8,767.83",
737,4899,863,4931,526.12-,
172,4866,372,4893,Tetal Net,
185,4911,293,4941,State-,
280,4917,483,4938,efax 6.00-,
187,5015,365,5041,Total Net,
700,5004,855,5028,"3,666.66",
188,5056,488,5095,Centrl tax 2.50,
763,5053,864,5080,91.67,
186,5158,359,5190,Fotal Net,
192,5213,456,5233,State tex 2.50,
768,5201,859,5226,91.67,
295,5204,295,5204,.,
347,5356,746,5375,THANKS FOR YOUR VISIT,
178,5509,883,5523,"Note: Unless otherwise stated, tax on",
