xmin,ymin,xmax,ymax,Object,label
302,1116,356,1101,ZAA,0
154,1593,192,1553,ZNA,0
270,1457,202,1478,MAZ,0
220,37,335,86,ZRA,1
225,128,308,150,TAX INVOICE,0
149,175,377,186,Inditex Trent Petai India Pvt Ltd,2
163,187,376,204,Amblence Corpor ate DFfice Tower 2,2
162,205,373,222,"Level 8 en Plot Ng 3, Unit No 1",2
237,226,291,241,office 11,2
127,248,381,262,"finblence 1sland, Hl-8. Gur gaon 122002.",2
207,269,302,280,"Haryana, India",2
166,286,338,298,CIN U74900R2009FIC043768,0
195,298,325,317,tel 91 124 497 3500,0
184,323,324,336,Fax: 91 124 497 3510,0
210,339,302,356,www Zala COm/in,0
181,370,319,393,GSTIN: 33AACCI15660129,0
140,396,351,412,Fhoenis Harketcity Mall Chernai,0
131,413,356,430,"LIG-17, Upper Ground Eloor- Plat in",0
120,433,368,449,Narthern and Weslern rar I of ald doar,0
134,451,350,467,"no 66 lieu dour a. 142, Velachery",0
140,464,345,488,Saldapet Tal uk TAMIL NADU 600042,0
165,483,323,508,Tel: 041-66513700/701/702,0
114,539,305,562,Siore: 9184 CHE-PHOEIX MARKET,0
115,557,288,582,ate 30-11-2019 Time: 19:45,6
112,575,305,602,Invoice rumber: 9184-01-S106051,4
99,598,184,614,Trans: 453657,0
96,634,180,650,TSP COLE OTY,0
211,639,241,653,PRICE,0
279,641,315,658,AMOUNT,0
93,672,144,686,SWP 3303,0
303,674,348,693,590.00 P,0
93,689,343,714,10001033 2004835999999 EAU TE TGILET,8
296,716,344,721,45. 00,0
211,675,254,692,"590,00",0
107,704,255,729,500 00 Centra tax 9.00,0
102,721,199,747,500.00 State tax,0
310,731,341,740,45,0
229,734,256,747,9,0
86,783,117,799,TOTAL,9
279,791,331,795,590. 00,10
92,820,139,834,CITIBANK,
262,821,327,832,1NR 590.00,
137,845,170,845,ARI,
86,868,154,892,Card Humber:,
304,881,326,896,9336,
189,896,212,909,VISA,
79,906,171,926,Exp. late: XXXX,
64,944,319,971,MID: 44460242289840 IDA 12898401,
75,959,158,980,BATCH NUN 943,
67,983,123,998,BILL NUM:,
75,995,184,1017,APPR. CODE: 040419,
73,1015,169,1035,Date. 30-11-2019,
228,963,319,985,INV: NUM: 23112,
217,978,317,1004,A 0918401106051,
208,997,318,1024,RRN: 933414015945,
223,1025,317,1041,Time: 19:45:37,
69,1093,126,1111,Total Net,
66,1113,174,1130,Central tax 9 00,
276,1101,300,1115,0,
259,1118,299,1135,45,
70,1145,120,1165,Tatal Net,
63,1168,153,1184,State tax 9.00,
263,1150,301,1162,500,
254,1174,291,1189,45,
111,1225,255,1234,THANKS FOR YOUR VISIT,
45,1279,292,1302,"Note Unless olheruise stated, tax on",
54,1291,261,1318,this invoice is nal payable under,
45,1317,143,1324,reverse charge,
51,1328,280,1356,This is a computer gerierated nveice,
50,1347,236,1373,and hence does not require ans,
48,1366,105,1376,sislature.,
32,1407,125,1423,Employee. 7201,
