xmin,ymin,xmax,ymax,Object,label
142,244,795,284,Fun City - Phoenix MarketCity,1
310,299,625,331,Mall - Chennai,1
221,366,719,385,Citymax Hotels India Pvt. Ltd.,0
149,426,792,445,"Funcity , 3rd Floor, Phoenix Market Mall,",2
415,462,528,489,No:142,2
208,519,732,545,"Velachery Main Road, Velachery",2
331,576,615,598,Chennai - 600042,2
206,639,744,657,CIN : U55101KA2005PTC037255,0
220,700,733,718,GSTN No: 33AACCC7765R1ZO,0
297,758,656,780,Ph No: 044-61153473,0
263,818,690,840,State Name: TAMILNADU,0
323,877,633,899,SAC Code: 999699,0
141,942,816,957,SAC Name : OTHER RECREATION AND,0
222,1002,731,1019,AMUSEMENT SERVICE. n.e.c.,0
338,1060,627,1088,Customer Name :,0
367,1119,596,1144,TAX INVOICE,0
218,1182,745,1200,"Date: Sun, 24-Nov-2019 5:40 PM",6
169,1240,799,1256,Bill No: TNCH1022371041 Trxld: 88233,4
347,1280,618,1302,Cashier: Vignesh,0
93,1335,214,1360,Product,7
509,1328,552,1356,Qt.,0
635,1326,866,1350,Price Amount,0
93,1457,375,1479,Card: DE1AB17B,8
96,1517,364,1540,Reload 1 TO 999,0
581,1506,860,1532,1 423.73 500.00,0
434,1572,881,1592,Transaction Total Rs 500.00,10
384,1633,481,1660,CGST,
582,1631,648,1657,9,
795,1627,880,1655,38.14,
386,1694,483,1721,SGST,
583,1691,649,1718,9,
795,1688,881,1715,38.14,
604,1751,883,1774,Non-Taxable 0.00,
641,1811,884,1834,Total Tax 76.27,
515,1872,884,1894,Grand Total: Rs 500.00,
795,1929,884,1955,Cash:,
663,1992,886,2017,Credit: 500.00,
649,2054,887,2078,Tendered: 0.00,
756,2113,886,2138,Change:,
113,2177,496,2202,Ref: XXXX1655:HDFC,
103,2219,450,2243,"BANK,913292/500.00",
361,2269,629,2301,Have a Nice Day,
210,2334,788,2352,The amount collected is inclusive of,
167,2402,820,2414,value redemption items provided against,
208,2455,781,2481,"tickets won by the customer, if any.",
314,2511,679,2543,"Thank You, Visit Again",
