xmin,ymin,xmax,ymax,Object,label
225,233,686,266,TAX INVOICE/BILL OF SUPPLY,0
189,281,702,318,BIG BAZAAR FUTURE RETAIL LTD,1
216,327,685,362,"PHOE NIX MARKET CITY, NO.142",2
190,381,721,414,"VELACHERY, VELACHERY MAIN ROAD",2
314,429,597,460,CHENNAI:- 600042,2
293,473,615,510,Tel No: 8088420084,0
242,527,652,558,HELPLINE: 1800 266 2255,0
85,576,810,605,GST TIN:33AADCB1093N12N W.E.F 01.07.2017,0
209,625,703,657,CIN NOL51909M12007PLC268269,0
8,720,171,763,ITEM DESC,7
440,722,847,762,QTY DISC AMT NET AMT,0
440,770,669,805,COSTX SGSTX,0
5,768,68,813,HSN,0
174,772,226,807,UOM,0
708,868,754,901,Rs.,0
744,917,849,950,550,0
7,921,350,954,FOGG MEN WOODY 150m,8
600,918,673,950,0,0
6,967,85,1010,3303,0
175,970,228,1003,Pcs,0
87,1021,227,1053,SUBTOTAL,0
745,1015,850,1049,550,0
466,1112,527,1125,.. :,0
609,1111,641,1121,....,0
88,1117,175,1152,TOTAL,9
89,1168,155,1200,HOFC,0
741,1112,850,1146,550,10
745,1163,852,1195,550,0
196,1313,830,1343,Your Mobile Number,0
303,1361,652,1394,7598226308,0
159,1414,830,1449,Has Been Registered,0
195,1461,722,1496,with Big Bazaar,0
90,1562,425,1593,PIECES PURCHASED: 2,0
180,1657,230,1692,GST,0
178,1707,251,1739,CGST,0
181,1755,251,1790,SGST,0
305,1656,444,1689,BASE AMT,0
306,1705,412,1739,466.1,0
305,1755,411,1788,466.1,0
531,1650,658,1688,TAX. AMT,0
519,1703,606,1737,41.95,0
521,1754,606,1786,41.95,0
132,2020,449,2053,Tax Invoice Number,0
489,2017,805,2052,-2.54103E+15,0
757,2159,914,2193,Auth Sign,0
505,2258,720,2292,Kathi ravan S,0
221,2261,380,2298,CH:417084,0
116,2316,774,2340,TILL NO.26 MEMO NO.0015705 Tr:25490,4
188,2363,307,2396,St:2541,0
154,2416,793,2439,het Amourt is inclusive of all taxes,0
136,2462,811,2487,Tctal Savings add to discount over MRP,0
242,2509,700,2539,and additional Promotions.,0
376,2359,668,2392,"29/12, 19 19:48",6
209,2609,702,2634,BBPC DE C OFFER,
281,2657,670,2688,THIS WINTER,
177,2706,775,2740,ENROL/RENEW GET,
104,2758,813,2787,BENEFIT UPTO RS 1500,
104,2808,341,2840,OFFER 1,
462,2804,847,2839,31-Dec-19,
257,2849,669,2894,T C Apply,
71,2954,884,2990,Downloacl Future Pay App,
73,3002,884,3033,Get Cashback Rewards on,
143,3058,808,3084,your shopping Get,
27,3094,884,3132,Exclusive Offers Deals,
69,3144,875,3183,"To Install, Give A Call",
152,3196,819,3234,at 8010 35 000 0 Now,
