xmin,ymin,xmax,ymax,Object,label
298,165,490,175,ANNA VILAAS,1
228,205,562,210,VELACHERY - CHENNAI,2
291,241,500,252,PHOENIX MALL,2
208,284,586,287,GSTIN : 33ADTFS5376H1ZH,0
230,326,566,340,COUNTER SALE,0
208,378,599,408,TOKEN NO:231,0
37,453,329,477,Bill No :AC60776,4
36,499,278,520,Date 06/Oct/2019,6
374,498,557,514,Time :16:58:11,6
36,538,193,552,Salesman : -,0
38,619,89,640,Item,7
425,617,483,636,Rate,0
534,614,577,639,Qty,0
676,609,726,628,Amt,0
38,694,483,715,Annavilaas Non Chicor52.00,8
561,687,571,713,1,0
635,687,726,710,52,0
39,743,306,766,Ghee Podi Roast,8
377,742,484,763,133,0
561,736,726,758,1 133.00,0
40,790,89,820,Idly,8
397,787,485,809,57,0
562,784,728,807,2 114.00,0
37,835,256,859,Mineral Water,8
397,834,486,857,36,0
638,832,730,856,38,0
24,930,433,955,No of Item : 4 No Qty :5,0
33,979,150,1005,K-0232,0
310,1028,440,1054,Subtotal,0
661,1029,774,1055,337,0
310,1078,409,1103,CGST,0
705,1080,776,1106,8.43,0
310,1128,408,1153,SGST,0
706,1130,777,1156,8.43,0
312,1177,477,1205,Round Off,0
708,1181,779,1208,0.15,0
310,1279,523,1307,Total Amount,9
667,1282,784,1310,354,10
223,1381,573,1406,THANK YOU VISIT AGAIN,
26,1416,187,1432,Username : .,
29,1444,465,1464,System Name DESTOP-8D1TB9U,
25,1496,803,1540,Amount To Pay : Rs 354.00,
