xmin,ymin,xmax,ymax,Object,label
52,140,872,227,ToysuS BABIESAUS,0
123,318,796,343,Tablez Toyz Pvt. Ltd.,1
126,373,802,388,"G-A2, Ground Floor,PMC Chennai Old",2
106,410,822,431,"Door.No. 66, New Door No.142,Velachery",2
406,446,517,467,Ph No.,0
546,480,655,505,Email:,0
304,563,625,592,TAX INVOICE,0
50,671,618,692,Invoioe No RTNO1B1920016480,4
42,750,121,772,Name,0
270,754,274,769,:,0
291,783,497,810,: 9941035024,0
42,788,161,810,Mobile,0
42,824,213,845,Address :,0
292,860,503,882,: E. PAPPITHA,0
285,895,500,918,: 24-11-2019,6
46,863,142,885,Staff,0
43,900,121,922,Date,5
564,896,640,917,Time,5
685,893,800,916,: 16:38,6
46,943,361,966,Sr Baroode/Name,0
555,939,630,969,Qty,0
700,938,818,958,Amount,0
126,981,380,1001,8.90413E+12,0
425,980,464,1002,HM,8
723,977,818,999,59,0
126,1021,461,1040,International Cin,8
125,1055,581,1075,HSN/SAC : 96099090 12.00,0
126,1132,380,1152,5.02181E+12,0
427,1129,484,1152,48G,0
706,1130,819,1149,199,0
129,1171,462,1191,sm Frog Spawn Sli,8
126,1207,580,1227,HSN/SAC : 95030030 12.00,0
187,1325,376,1344,Total Qty:,0
187,1362,402,1382,CGST 6.00,0
188,1400,401,1420,SGST 6.0,0
187,1437,317,1458,Total :,9
707,1359,801,1379,13.82,0
707,1397,801,1418,13.82,0
685,1433,801,1455,258,10
708,1476,802,1497,10,
685,1513,801,1535,250,
47,1481,126,1503,CASH,
47,1518,224,1539,GIFT CARD,
47,1556,344,1577,CHANGE RETURNED,
708,1563,801,1573,-2,
88,1631,640,1650,Price Inolueive of all taxes,
48,1707,503,1725,GSTIN : 33AAFCT8925MI ZU,
48,1745,582,1764,CIN : U52398KL2016PTC046078,
48,1782,405,1801,Connect with us on,
47,1820,325,1846,Www.toysrus.in,
306,1893,638,1919,RTN01B1920016480,
