xmin,ymin,xmax,ymax,Object,label
426,250,1211,273,Amazeus Foods India LLP,0
435,304,1212,328,Smoke - The Sizzler house,1
365,357,1246,379,"FC-01.1St Floor,Food Court",2
468,412,1181,436,Phonix Palladium Mall,2
498,466,1145,490,Velachery Main Road,2
397,519,1250,550,Velachery-Chennail-600042,2
92,622,327,658,Bill No,3
396,625,599,659,Waiter,0
706,624,799,656,TNo,0
908,624,1041,655,Date,5
1296,618,1429,654,Time,0
93,730,192,764,A86,4
405,741,598,766,cashie,0
707,732,1360,762,FF 26/10/2019 16:55,6
100,840,234,875,Item,7
744,841,905,876,Price,0
1052,840,1473,881,Qty Total Rs,0
97,948,572,984,CHICKEN BURGER,8
714,948,1471,985,170.47 1.000 170.47,0
98,1058,570,1101,Total Quantity,0
1024,1059,1189,1093,1,0
98,1114,470,1147,Grand Total,0
101,1166,230,1200,SGST,0
1271,1114,1476,1154,170.47,0
1345,1169,1478,1209,4.26,0
1346,1225,1479,1265,4.26,0
1274,1280,1479,1323,179,10
1276,1333,1480,1377,179,0
305,1162,400,1201,2.5,0
98,1222,435,1253,CGST 2.5 ag,0
96,1278,435,1311,Net Amount,9
98,1331,438,1364,CreditCard,0
410,1384,1165,1437,"Thank You, Visit Again",0
514,1441,1026,1492,For GST Applied,0
