xmin,ymin,xmax,ymax,Object,label
506,171,655,154,RAKU,0
41,245,639,278,RmKV Fashion Garment Pvt. Ltd,1
235,290,453,317,"S-55,S-56,S-57,S-58",2
170,314,523,343,"Phoenix Market City,Velachery",2
222,349,468,365,Chennai - 42 - 600042,2
244,378,447,393,Ph: 044-66513500,0
168,406,523,420,CIN: U52322TN2011PTC081566,0
195,434,498,448,GSTIN: 33AAFCR4023G1ZS,0
232,471,461,490,TAX INVOICE,0
40,526,380,552,No : Y04/RG-1008,0
38,583,241,600,DATE : 22/12/2019,6
525,580,658,592,Time : 18:09,6
37,619,319,634,Sr.No : S19Y04VG0005226,4
38,655,406,667,Place of Supply : Chennai - 42 - 600042,0
37,677,267,691,Delivery : Ex Showroom,0
37,701,308,715,State/Code : Tamil Nadu/33,0
36,759,78,773,SNO,0
114,759,153,773,HSN,0
188,758,226,773,GST,0
295,757,342,771,RATE,0
393,757,431,773,QTY,0
462,755,494,769,PCS,0
522,754,551,768,SM,0
577,752,669,765,AMOUNT,0
104,807,151,820,6109,0
270,806,321,818,95,0
395,805,433,817,1,0
526,802,583,814,26474,0
35,838,193,854,CMICO078/6/20,8
220,837,269,851,VEST,8
613,830,664,844,95,0
34,871,43,886,2,0
103,871,149,884,6109,0
271,869,320,881,95,0
396,866,433,880,1,0
529,864,585,878,26474,0
45,900,268,919,CMIC 6/19 VEST,8
616,894,668,909,95,0
34,954,164,983,TOTAL,9
204,952,410,973,Sold Pcs : 2,0
550,949,667,970,190,10
33,1018,174,1038,Tax Summary.,
39,1066,71,1088,GST,
113,1066,275,1086,TAXABLE VALUE,
320,1066,369,1081,CGST,
419,1065,467,1080,SGST,
519,1064,561,1078,IGST,
611,1063,677,1077,TOTAL,
36,1118,44,1135,5,
216,1119,279,1134,180.96,
339,1118,379,1133,4.52,
440,1117,479,1132,4.52,
507,1116,547,1131,0,
615,1115,678,1129,190,
33,1170,97,1186,TOTAL,
217,1171,280,1185,180.96,
340,1170,379,1184,4.52,
440,1169,480,1183,4.52,
508,1168,548,1183,0,
617,1167,679,1182,190,
419,1233,672,1260,Rs. 190.00,
357,1312,676,1324,RmKV Fashion Garment Pvt. Ltd.,
471,1365,677,1386,Authorized Signatory,
170,1410,547,1411,Goods once sold cannot be taken back,
260,1431,458,1439,Thanks for your visit,
310,1456,410,1466,Visit again,
130,1496,588,1487,SAVE MORE WITH YOUR BONUS CARD TODAY,
127,1531,582,1519,"www.rmkv.com, email: feedbackrmkv.com",
147,1557,565,1547,"R.O.:176F,Trivandram Road,Vannarpettai",
263,1576,454,1583,Tirunelveli-627003,
