xmin,ymin,xmax,ymax,Object,label
204,311,672,344,Burger King India Pvt. Ltd.,1
78,357,818,387,"Unit No. S-40, Second Floor, Phoenix Marke",2
231,397,653,428,"No.142, Velachery Chennai",2
324,442,570,472,RETAIL INVOICE,0
343,487,535,517,4466653840,0
236,574,642,601,GST NO. 33AAFCB7044K2ZN,0
79,658,583,687,Invoice No. 22040 003 0060441,4
290,745,569,773,Order346,0
78,829,199,858,Host: M,0
78,870,217,902,Order346,0
644,828,819,857,26-10-2019,6
682,872,819,900,12:10 PM,6
78,961,430,989,Order Type: Dine In,0
78,1046,430,1073,BK Fried Chicken-2PC,8
718,1046,819,1073,175,0
733,1089,819,1115,89,0
78,1088,412,1116,2CrispyChickenfor89,8
97,1133,182,1161,Items,0
96,1176,341,1203,CRISPY CHICKEN,0
100,1214,342,1247,CRISPY CHICKEN,0
79,1304,213,1330,Subtotal,0
709,1301,820,1330,264,0
79,1390,306,1416,CGST 2.5 Tax,0
751,1389,821,1416,6.6,0
79,1475,306,1501,SGST 2.5 Tax,0
751,1474,820,1501,6.6,0
80,1561,239,1592,Total Tax,0
736,1560,820,1588,13.2,0
80,1692,197,1724,Round .,0
79,1733,523,1760,Dine In Total,9
735,1702,821,1718,-0.2,0
611,1733,816,1761,277,10
80,1819,148,1847,Cash,
664,1817,820,1846,Rs.300.00,
81,1905,288,1933,Change,
540,1905,818,1932,Rs.23.00,
128,1984,766,2022,Service Category: Restaurant Service,
329,2033,555,2060,SAC Code 9963,
223,2076,680,2102,CIN: U55204MH2013FTC249986,
346,2160,556,2188,Check Closed,
152,2204,732,2231,Share your feedback get 10 off,
152,2247,734,2278,Visit: www.ind.tellburgerking.com,
311,2289,591,2323,Store ID : 22040,
203,2334,679,2368,Code :724-420-020-160-214-0,
97,2383,778,2406,Write Discount code after Survey below.,
273,2424,355,2446,Code:,
184,2461,713,2491,Handover the bill for Discount,
202,2503,681,2541,Discount vaild for 30 days.,
