xmin,ymin,xmax,ymax,Object,label
230,328,702,340,Burger King India Pvt. Ltd.,1
106,374,848,377,"Unit No. S-40, Second Floor, Phoenix Marke",2
267,411,685,425,"No.142,Velachery Chennai",2
355,449,602,471,RETAIL INVOICE,0
375,494,567,515,4466653840,0
269,582,675,599,GST NO. 33AAFCB7044K2ZN,0
112,670,622,685,Invoice No. 22040 002 0028000,4
326,751,604,773,Order204,0
108,838,354,863,Host: Gayathri,0
115,884,255,909,Order204,0
682,829,856,853,29-12-2019,6
734,871,860,901,3:02 PM,6
772,914,857,941,20105,0
117,972,468,993,Order Type: Dine In,0
757,1044,858,1070,179,0
118,1057,463,1077,2CrspyChkfor891Meal,8
136,1098,222,1125,Items,0
137,1142,382,1166,CRISPY CHICKEN,0
137,1180,382,1208,CRIPY CHICKEN,0
138,1227,259,1252,REG FRY,0
138,1269,288,1294,Reg Pepsi,0
120,1314,538,1334,Thick - Chocolate 300 ml,8
751,1304,862,1330,129,0
121,1397,254,1424,Subtotal,0
758,1388,861,1416,308,0
121,1484,348,1508,CGST 2.5 Tax,0
793,1476,862,1503,7.7,0
122,1568,349,1593,SGST 2.5 Tax,0
795,1561,862,1589,7.7,0
123,1654,279,1681,Total Tax,0
780,1649,865,1675,15.4,0
122,1780,208,1809,Round,0
122,1825,566,1850,Dine In Total,9
777,1788,862,1803,-0.4,0
653,1821,860,1848,323,10
122,1910,190,1939,Cash,
706,1908,863,1935,Rs.505.00,
123,1997,330,2025,Change,
547,1995,859,2021,Rs.182.00,
175,2081,809,2107,Service Category: Restaurant Service,
369,2123,596,2151,SAC Code 9963,
263,2168,721,2196,CIN: U55204MH2013FTC249986,
386,2253,597,2280,Check Closed,
191,2295,772,2322,Share your feedback get 10 off,
191,2340,773,2367,Visit: www.ind.tellburgerking.com,
351,2382,634,2411,Store ID : 22040,
245,2427,720,2455,Code :554-022-120-190-213-0,
138,2469,821,2497,Write Discount code after Survey below.,
316,2512,396,2541,Code:,
227,2555,755,2582,Handover the bill for Discount,
245,2599,715,2627,Discount vaild for 30 days.,
