xmin,ymin,xmax,ymax,Object,label
198,320,668,346,Burger King India Pvt. Ltd.,1
74,363,814,396,"Unit No. S-40, Second Floor, Phoenix Marke",2
232,405,650,431,"No.142,Velachery Chennai",2
321,448,567,475,RETAIL INVOICE,0
340,493,533,519,4466653840,0
236,578,640,604,GST NO. 33AAFCB7044K2ZN,0
77,665,581,688,Invoice No. 22040 003 0060441,4
289,748,568,776,Order346,0
78,836,200,863,Host: M,0
79,879,218,906,Order346,0
645,832,819,857,26-10-2019,6
684,875,819,901,12:10 PM,6
79,968,430,993,Order Type: Dine In,0
79,1053,430,1079,BK Fried Chicken-2PC,8
79,1093,415,1125,2CrispyChickenfor89,8
718,1048,819,1074,175,0
733,1092,821,1116,89,0
99,1140,184,1166,Items,0
99,1183,344,1208,CRISPY CHICKEN,0
106,1219,355,1258,CRISPY CHICKEN.,0
82,1311,215,1336,Subtotal,0
718,1301,822,1335,264,0
82,1397,309,1422,CGST 2.5 Tax,0
754,1390,823,1416,6.6,0
84,1481,310,1506,SGST 2.5 Tax,0
756,1475,824,1501,6.6,0
85,1568,241,1594,Total Tax,0
741,1562,825,1588,13.2,0
85,1698,171,1724,Round,0
740,1704,825,1718,-0.2,0
87,1740,529,1763,Dine In Total,9
618,1735,823,1761,277,10
88,1826,155,1853,Cash,
671,1820,827,1846,Rs.300.00,
88,1913,295,1939,Change,
547,1907,825,1933,Rs.23.00,
142,1996,774,2016,Service Category: Restaurant Service,
337,2037,564,2062,SAC Code 9963,
232,2080,689,2104,CIN: US5204MH2013FTC249986,
355,2163,565,2189,Check Closed,
162,2211,742,2233,Share your feedback get 10 off,
162,2252,743,2277,Visit: WwW.ind.tellburgerking.com,
320,2293,601,2320,Store ID : 22040,
216,2338,691,2360,Code :724-420-020-160-214-0,
111,2382,791,2403,Write Discount code after Survey below.,
287,2423,381,2454,Code:,
198,2466,726,2492,Handover the bill for Discount,
215,2509,697,2540,Discount vaild for 30 days.,
