xmin,ymin,xmax,ymax,Object,label
248,143,638,191,PUT KADALAI,1
91,226,795,263,"Palladium, Indira Gandhi Nagar, Velachery,",2
309,271,576,302,Chennai 600042,2
219,318,668,347,GSTIN: 33AAUFK2479B1Z8,0
306,363,581,389,PH: 6379888177,0
31,452,133,479,Name:,0
32,560,391,587,Date: 22/12/19 19:02,6
30,605,254,634,Cashier: bilier,0
30,649,289,678,Token No.: 75,0
447,559,607,587,Dine In: 1,0
446,603,667,633,Bill No.: 1239,4
33,738,106,767,Item,7
392,736,456,773,Qty.,0
557,736,632,765,Price,0
732,737,861,767,Amount,0
686,788,776,796,wow.. i,0
33,825,303,853,Mexican Chicken,8
520,823,632,851,238.1,0
749,823,862,851,238.1,0
34,868,141,905,Burger,8
34,930,204,969,French Fry,8
522,936,633,961,114.29,0
751,935,860,961,114.29,0
34,1000,231,1029,Filter Coffee,8
419,997,436,1026,2,0
541,1000,631,1027,47.62,0
769,998,861,1026,95.24,0
35,1066,262,1095,Beach Kadalai,8
541,1065,634,1093,76.19,0
771,1065,862,1093,76.19,0
272,1171,633,1199,Total Qty: 5 Sub Total,0
379,1214,468,1245,CGST,0
383,1260,469,1288,SGST,0
549,1217,597,1244,2.5,0
549,1260,597,1288,2.5,0
751,1173,861,1200,523.82,0
773,1217,862,1244,13.1,0
773,1262,862,1288,13.1,0
356,1351,534,1384,Round off,0
770,1365,862,1382,-0.02,0
265,1401,529,1439,Grand Total,9
707,1402,862,1437,550,10
38,1456,271,1488,Paid via Card,0
360,1549,531,1580,Lets Put it,0
