xmin,ymin,xmax,ymax,Object,label
48,164,634,148,VB SIGNATURE - UNIT OF SAI ENTERPRISES,1
236,196,445,207,PALLADIUM MALL,2
97,242,605,238,"28, VELACHERY MAIN ROAD, VELACHERY",2
224,278,436,300,CHENNAI-600042,2
160,315,498,341,GSTIN: 33BIXPD4908G1Z5,0
194,358,455,381,State: TAMIL NADU,0
244,436,428,465,VB SIGNATURE,0
33,507,212,543,Bill No: 33,4
34,548,401,585,Bill Dt: 25/11/19 20:45,6
31,586,93,623,SC,0
169,592,279,625,: 996331,0
37,672,100,700,Time,0
38,714,117,741,20:45,0
186,674,295,700,Steward,0
446,672,620,700,Table Cover,0
455,715,513,740,33,0
580,713,586,739,1,0
40,796,283,825,Sno Description,7
396,795,439,825,Qty,0
488,794,668,817,Rate Amount,0
79,876,185,906,1 DOSAI,8
430,871,672,896,1 90.00 90.00,0
287,958,362,984,Total,0
305,999,429,1023,SGST 2.5,0
305,1041,430,1064,CGST 2.5,0
306,1082,446,1105,Round Off,0
600,952,675,976,90,0
617,992,677,1017,2.25,0
619,1033,679,1057,2.25,0
621,1073,680,1099,0.5,0
229,1159,399,1219,Grand Total,9
592,1157,669,1210,95,10
54,1279,196,1303,Kot :1345,0
208,1398,567,1418,ROUNDED OFF TO 50 PAISE,0
154,1443,598,1453,Thank You Please Visit Again,0
