xmin,ymin,xmax,ymax,Object,label
38,115,604,136,VB SIGNATURE - UNIT OF SAI ENTERPRISES,1
224,159,427,186,PALLADIUM MALL,2
72,194,424,229,"28, VELACHERY MAIN ROAD,",2
210,238,415,264,CHENNAI-600042,2
151,277,474,298,GSTIN: 33BIXPD4908G1Z5,0
182,315,430,340,State: TAMIL NADU,0
446,196,577,216,VELACHERY,0
228,396,402,422,VB SIGNATURE,0
32,471,195,504,Bill No: 67,4
32,511,374,537,Bill Dt: 23/1119 17:16,6
33,551,76,580,SAC,0
155,554,260,584,: 996331,0
411,620,583,642,Table Cover,0
36,632,94,661,Time,0
39,673,110,699,17:16,0
173,633,276,657,Steward,0
426,664,481,687,67,0
546,656,551,682,1,0
38,754,263,774,Sno Description,7
368,743,629,753,Qty Rate Amount,0
73,827,191,855,1 COFFEE,8
83,869,146,895,2 TEA,8
418,813,515,837,1 50.00,0
408,853,516,874,1 45.00,0
560,810,633,831,50,0
563,847,632,870,45,0
269,939,338,960,Total,0
284,977,402,996,SGST 2.5,0
285,1016,403,1036,CGST 2.5,0
287,1056,418,1073,Round Off,0
564,923,634,945,95,0
580,960,636,984,2.37,0
580,999,637,1023,2.37,0
581,1038,638,1061,0.26,0
211,1139,377,1182,Grand Total,9
541,1118,626,1170,100,10
47,1248,182,1269,Kot :1116,0
191,1360,522,1373,ROUNDED OFF TO 50 PAISE,0
141,1402,555,1400,Thank You Please Visit Again,0
