xmin,ymin,xmax,ymax,Object,label
26,99,600,111,VB SIGNATURE - UNIT OF SAI ENTERPRISES,1
207,132,416,154,PALLADIUM MALL,2
55,168,571,189,"28, VELACHERY MAIN ROAD, VELACHERY",2
192,209,402,233,CHENNAI-600042,2
131,252,464,275,GSTIN: 33BIXPD4908G1Z5,0
162,291,419,316,State: TAMIL NADU,0
210,375,388,399,VB SIGNATURE,0
12,455,178,483,Bill No: 82,4
14,496,360,521,Bill Dt: 24/11/19 17:33,6
15,536,57,563,SAC,0
140,537,236,569,: 996331,0
409,617,570,641,Table Cover,0
410,656,465,682,82,0
17,618,76,644,Time,0
154,617,257,645,Steward,0
22,659,92,684,17:33,0
21,738,242,766,Sno Description,7
350,736,614,759,Qty Rate Amount,0
57,811,123,841,1 TEA,8
51,856,333,878,2 STUFFED CEYLON PA,8
397,810,497,837,1 45.00,0
391,849,617,876,1 210.00 210.00,0
546,812,617,837,45,0
248,932,315,957,Total,0
262,972,379,995,SGST 2.5,0
263,1011,379,1036,CGST 2.5,0
263,1051,392,1075,Round Off,0
531,930,618,955,255,0
561,969,618,994,6.37,0
562,1008,619,1034,6.37,0
563,1047,620,1073,0.26,0
184,1129,349,1183,Grand Total,9
518,1129,610,1183,268,10
18,1238,149,1261,Kot :1261,0
156,1357,501,1380,"ROUNDED OFF, TO 50 PAISE",0
110,1399,533,1421,Thank You Please Visit Again,0
