xmin,ymin,xmax,ymax,Object,label
49,45,578,72,RETURNS EXCHANGE NOT ALLOWED,0
244,183,506,217,ARCHIES LIMITED,1
104,226,633,258,ARCHIES LTD PHOENIX MARKETCITY,2
50,272,786,303,"S-23, IIND FLOOR, 142, VELACHERY MAIN ROAD,",2
245,316,490,346,CHENNAI-600042,2
245,360,490,390,PH:72990 36438,0
157,407,579,439,GSTIN NO:33AAECAO726C1ZG,0
50,451,701,475,"REGD.OFFICE:PLOTNO 191-F,SECTOR-4,IMT",0
157,492,592,521,"MANESAR, GURUGRAM, HARYANA.",0
227,534,508,565,W.E.F.23-08-2010,0
50,580,560,607,CIN NO: L36999HR1990PLC041175,0
51,624,667,651,EMAIL ID: archiesarchiesonline.com,0
50,668,597,698,WEBSITE : Www.archiesonline.com,0
282,711,473,742,TAX INVOICE,0
441,800,721,829,Date :29-11-2019,6
442,845,633,874,Time :16:26,6
53,802,296,830,No.PMC19010927,0
36,928,315,967,HSN Description,7
52,978,119,1008,CODE,0
388,931,437,967,Qty,0
510,933,579,963,Rate,0
512,977,579,1012,RsP,0
652,930,755,961,Amount,0
688,974,757,1011,RsP,0
53,1066,120,1096,BOOK,8
44,1106,368,1139,PRINTED PAPER MATT,8
53,1152,86,1183,ER,8
430,1060,580,1099,1 350.00,0
465,1104,581,1139,1 25.00,0
655,1064,757,1094,350,0
671,1108,758,1140,25,0
53,1240,134,1268,Total,9
425,1239,439,1268,2,0
655,1239,757,1267,375,10
53,1326,192,1358,DISCOUNT,
52,1372,262,1402,ROUNDING OFF,
671,1324,757,1356,93.75,
675,1385,758,1401,-0.25,
54,1460,211,1489,Net Value,
654,1458,759,1489,281,
52,1592,103,1625,HSN,
160,1594,440,1623,TAXABLE AMT RATE,
531,1593,599,1623,CGST,
690,1592,759,1622,SGST,
54,1679,121,1712,4902,
53,1724,122,1755,4802,
247,1681,386,1710,262.50 0,
269,1725,405,1755,16.75 12,
530,1681,599,1710,0,
534,1725,600,1755,1,
690,1678,759,1711,0,
692,1724,760,1755,1,
55,1812,139,1842,TOTAL,
248,1813,351,1841,279.25,
535,1813,600,1843,1,
694,1810,758,1841,1,
53,1900,652,1933,Rupees Two Hundred Eighty One Only,
71,1944,458,1974,Credit Card -Rs.281.00,
53,1988,600,2018,SUBJECT TO CHENNAI JURISDICTION,
54,2032,404,2061,TIN NO : 33280461027,
53,2076,563,2105,CST NO : 637381 DT 11-10-2000,
54,2165,423,2194,Bill ID: 201911291626,4
53,2341,582,2372,RETURNS EXCHANGE NOT ALLOWED,
