xmin,ymin,xmax,ymax,Object,label
18,3,547,32,RETURNS EXCHANGE NO ALLOWED,0
210,133,473,160,ARCHIES LIMITED,1
69,179,598,203,ARCHIES LTD PHOENIX MARKETCITY,2
5,219,752,252,"S-23,IIND FLOOR, 142, VELACHERY MAIN ROAD,",2
211,265,456,297,CHENNAI-600042,2
211,311,458,340,PH:72990 36438,0
123,355,545,383,GSTIN NO:33AAECA0726C1ZG,0
18,399,671,428,"REGD.OFFICE:PLOTNO 191-F,SECTOR-4,IMT",0
124,443,561,472,"MANESAR, GURUGRAM, HARYANA.",0
196,487,477,516,W.E.F.23-08-2010,0
19,532,529,561,CIN NO: L36999HR1990PLC041175,0
6,579,637,606,EMAIL ID: archtesarchiesonline.com,0
19,620,566,648,WEBSITE : WWw.archiesonline.com,0
249,662,442,693,TAX INVOICE,0
21,750,265,779,No.PMC19012319,0
409,749,689,777,Date :22-12-2019,6
410,792,602,822,Time :21:44,6
4,878,283,911,HSN Description,7
20,925,89,956,CODE,0
481,880,549,910,Rate,0
623,880,723,910,Amount,0
657,924,724,959,Rs P,0
357,882,407,916,Qty,0
480,925,549,960,Rs P,0
640,1009,725,1047,35,0
20,1015,337,1044,PRINTED PAPER MATT,8
22,1059,55,1090,ER,8
20,1103,338,1132,PRINTED SHEET - PR,8
23,1145,126,1178,INCESS,8
21,1190,550,1219,SAPHIRE COATED NUT 1 575.00,8
39,1229,337,1263,S ASSORTED 350 GMS,8
6,1273,549,1307,SAPPHIRE GOLD ALMO 1 575.00,8
21,1321,178,1353,ND 350 GM,8
396,1015,403,1044,1,0
462,1012,548,1046,35,0
396,1103,405,1132,1,0
463,1102,550,1132,35,0
640,1101,728,1131,35,0
623,1189,726,1219,575,0
623,1277,726,1307,575,0
22,1409,103,1440,Total,9
394,1409,409,1440,4,0
609,1410,727,1439,1220,10
10,1541,179,1575,Net Value,
608,1541,727,1571,1220,
9,1667,72,1705,HSN,
124,1670,408,1710,TAXABLE AMT RATE,
499,1671,568,1704,CGST,
659,1674,726,1704,SGST,
21,1761,90,1792,4802,
25,1805,91,1836,1806,
233,1760,371,1793,62.48 12,
215,1807,374,1837,974.56 18,
499,1762,567,1793,3.76,
481,1805,569,1838,87.72,
659,1763,725,1793,3.76,
641,1807,726,1837,87.72,
10,1889,107,1928,TOTAL,
202,1893,321,1925,1037.04,
482,1891,567,1924,91.48,
640,1889,726,1925,91.48,
10,1975,691,2017,Rupees One Thousand Two Hundred Twenty,
38,2022,105,2059,Only,
38,2067,444,2099,Credit Card -Rs.1220.00,
9,2107,568,2144,SUBJECT TO CHENNAI JURISDICTION,
19,2153,372,2187,TIN NO : 33280461027,
19,2199,532,2232,CST NO : 637381 DT 11-10-2000,
15,2283,391,2321,Bill ID: 201912222144,4
