xmin,ymin,xmax,ymax,Object,label
163,85,363,108,ARCHIES LIMITED,0
55,113,455,141,ARCHIES LTD PHOENIX MARKETCITY,1
13,145,571,177,"S-23,IIND FLOOR, 142, VELCHERY MAIN ROAD,",2
163,180,350,204,CHENNAI-600042,2
163,213,350,236,PH:72990 36438,0
95,244,417,269,GSTIN NO:33AAECA0726C1ZG,0
13,277,511,304,"REGD.OFFICE:PLOTNO 191-F,SECTOR-4,IMT",0
87,309,427,336,"MANESAR, GURUGRAM, HARYANA.",0
150,346,363,369,W.E.F.23-08-2010,0
16,375,404,403,CIN NO: L36999HR1990PLC041175,0
16,413,483,436,EMAIL ID: archiesarchiesonline.com,0
15,446,430,469,WEBSITE : www.archiesonline.com,0
191,480,337,502,TAX INVOICE,0
17,545,202,567,No.PMC19012150,0
313,545,524,567,Date :21-12-2019,6
313,578,459,600,Time :17:18,6
15,645,216,666,HSN Description,7
14,678,66,700,CODE,0
273,644,310,669,Qty,0
367,644,418,666,Rate,0
367,678,419,701,RsP,0
474,643,550,665,Amount,0
490,674,554,705,Rs P,0
15,745,189,766,GREETING CARD,8
302,743,418,763,1 125.00,0
477,742,553,763,125,0
16,812,77,833,Total,9
303,809,308,831,1,0
478,807,554,830,125,10
20,912,137,932,Net Value,
478,907,554,929,125,
18,1012,56,1033,HSN,
99,1010,313,1030,TAXABLE AMT RATE,
382,1007,433,1029,CGST,
503,1006,555,1028,SGST,
17,1078,68,1099,4909,
169,1076,285,1097,111.60 12,
382,1072,433,1095,6.7,
503,1072,555,1095,6.7,
18,1145,82,1165,TOTAL,
170,1143,245,1164,111.6,
383,1139,434,1161,6.7,
504,1138,556,1160,6.7,
18,1212,489,1232,Rupees One Hundred Twenty Five Only,
18,1245,218,1266,Cash -Rs.125.00,
17,1280,435,1298,SUBJECT TO CHENNAI JURISDICTION,
18,1313,286,1332,TIN NO : 33280461027,
19,1346,408,1365,CST NO : 637381 DT 11-10-2000,
21,1410,301,1430,Bill ID: 201912211719,4
129,1442,409,1462,Cash Received: 130.00,
128,1475,176,1496,Bill,
128,1509,396,1529,Balance Retd: 05.00,
222,1475,409,1495,Amount: 125.00,
