xmin,ymin,xmax,ymax,Object,label
39,41,568,70,RETURNS EXCHANGE NOT ALLOWED,0
235,176,498,205,ARCHIES LIMITED,1
93,222,621,249,ARCHIES LTD PHOENIX MARKETCITY,2
39,263,777,299,"S-23,IIND FLOOR, 142, VELACHERY MAIN ROAD,",2
234,308,481,339,CHENNAI-600042,2
234,354,479,383,PH:72990 36438,0
146,398,569,430,GSTIN NO:33AAECAO726C1ZG,0
39,443,692,470,"REGD.OFFICE:PLOTNO 191-F,SECTOR-4,IMT",0
147,486,582,514,"MANESAR, GURUGRAM, HARYANA.",0
217,530,498,559,W.E.F.23-08-2010,0
43,569,551,605,CIN NO: L36999HR1990PLC041175,0
40,619,657,648,EMAIL ID: archiesarchiesonline.com,0
40,663,586,692,WEBSITE : WWW.archiesonline.com,0
259,701,462,733,TAX INVOICE,0
25,789,282,825,No. PMC19009219,0
429,791,710,822,Date :19-10-2019,6
430,837,621,867,Time :15:48,6
41,926,303,956,HSN Description,7
40,969,109,1001,CODE,0
378,925,427,961,Qty,0
502,924,569,957,Rate,0
500,968,568,1004,RsP,0
644,925,744,954,Amount,0
676,969,748,1002,RsP,0
40,1057,340,1087,BOOK I.S.B.N ON,8
41,1103,321,1132,YOUR WEDDING DAY,8
39,1145,286,1177,365 DAY QUOTES,8
33,1185,422,1222,PRINTED PAPER MATT 1,8
40,1234,72,1264,ER,8
415,1058,423,1087,1,0
483,1057,569,1087,50,0
660,1057,746,1087,50,0
443,1142,569,1176,1 275.00,0
454,1222,577,1219,1.30.00.,0
643,1143,746,1177,275,0
651,1186,754,1223,30,0
40,1321,120,1353,Total,9
412,1323,427,1353,3,0
643,1322,745,1353,355,10
41,1453,196,1483,Net Value,
642,1453,745,1482,355,
40,1587,91,1618,HSN,
146,1587,427,1618,TAXABLE AMT RATE,
518,1586,585,1616,CGST,
678,1587,745,1617,SGST,
38,1675,107,1706,4902,
38,1717,108,1748,4802,
234,1674,372,1705,325.00 0,
251,1718,388,1752,26.78 12,
517,1675,585,1705,0,
520,1718,581,1748,1.61,
677,1675,744,1704,0,
662,1714,748,1747,T.61,
39,1807,124,1837,TOTAL,
233,1804,337,1840,351.78,
521,1806,592,1841,"1.61,",
679,1807,740,1837,1.61,
38,1895,673,1931,Rupees Three Hundred Fifty Five Only,
39,1939,302,1969,Cash -Rs.355.00,
39,1982,585,2014,SUBJECT TO CHENNAI JURISDICTION,
35,2023,391,2055,TIN NO : 33280461027,
39,2068,550,2099,CST NO : 637381 DT 11-10-2000,
37,2157,408,2191,Bill ID: 201910191548,4
182,2203,550,2233,Cash Received: 505.00,
181,2246,244,2275,Bill,
180,2286,551,2320,Balance Retd: 150.00,
305,2248,550,2277,Amount: 355.00,
