xmin,ymin,xmax,ymax,Object,label
557,74,656,92,Bridg,1
3,98,489,95,Felcome to Belgian Waffle,1
6,191,288,197,Type: TAKE AWAY,0
16,285,267,296,Bill No. :3607,4
19,333,264,345,pelivery Boy:,0
22,379,497,380,pate:2019-12-19 21:57:07,6
28,416,151,446,Kots: 48,0
27,513,111,535,Item,7
310,513,376,541,Qty,0
511,505,579,526,Amt,0
24,608,302,626,COTTON CANDY 1,8
469,601,588,619,133.33,0
25,656,243,674,DELIVERY BO,8
66,702,84,720,L,8
494,695,590,713,19.04,0
30,795,221,812,Total Qty:,0
34,840,203,858,SubTotal:,9
477,834,594,853,152.37,10
33,932,130,949,GST5,
521,927,597,947,7.62,
95,977,273,995,CGST 2.5,
402,975,478,994,3.81,
96,1024,275,1041,SGST 2.5,
405,1020,481,1040,3.81,
38,1119,232,1137,Round Off :,
561,1115,611,1136,0.01,
39,1164,427,1184,Total Invoice Value,
558,1162,614,1182,160,
42,1259,340,1280,Payment Detail:,
46,1352,166,1373,Online,
523,1356,644,1378,160,
40,1438,687,1467,"Ne Value your feedback, write us",
47,1474,520,1511,infothebelgianwaffde.co,
47,1514,472,1537,Thank y ou visit again,
51,1553,214,1559,-- - ---- --,
72,1577,263,1590,Powered by,
337,1576,437,1588,POsi st,
