xmin,ymin,xmax,ymax,Object,label
590,69,691,89,Bridg,1
21,79,522,88,Welcome to Belgian Waffle,1
34,171,313,185,Type: TAKE AWAY,0
41,269,290,286,Bill No. :3663,4
42,317,288,335,Delivery Boy:,0
42,362,517,379,Date:2019-12-20 18:30:13,6
43,410,174,429,Kots:54,0
48,501,132,525,Item,7
328,503,392,533,Qty,0
527,504,593,526,Amt,0
44,595,258,617,NAKED NUTEL,8
46,643,239,662,LA PANCAKE,8
483,645,599,667,123.81,0
317,663,304,644,1,0
46,733,234,753,Total Qty:,0
49,776,214,803,SubTotal:,9
483,783,598,806,123.81,10
46,872,139,891,GST5,
525,877,597,898,6.19,
120,913,277,935,CGST 2.5,
405,916,478,937,3.1,
100,961,276,981,SGST 2.5,
404,963,478,986,3.1,
35,1052,229,1075,Round Off:,
599,1088,524,1065,0,
544,1113,598,1135,130,
33,1102,416,1126,Total Invoice Value,
32,1199,327,1219,Payment Detail:,
30,1294,108,1314,Cash,
501,1302,617,1325,130,
6,1389,655,1418,"We Value your feedback, write us",
9,1433,492,1464,infoethebelgianwaffle.co,
9,1479,431,1500,Thank you visit again,
29,1562,229,1595,Powered by,
295,1573,410,1593,Posist,
