xmin,ymin,xmax,ymax,Object,label
298,126,627,124,PIZza,0
342,199,549,223,TA INUOICE,0
385,237,525,266,Original,0
409,286,675,301,Pizza Hut India,1
323,332,582,347,PH Pheonix Mal1,2
201,379,709,383,SAPPHIRE FOODS INDIA PUT LTD.,0
239,418,681,429,CIN-U93090MH2009PTC197005,0
223,463,701,470,GST IN NO.- 36AANCS5595A1Z2,0
282,546,652,558,Invoice No. TI7845466,4
143,637,425,653,9000010 Surendra,0
112,719,265,745,Tbl 20/1,0
412,709,553,731,Chk 6313,0
361,752,590,772,Customer/6313,0
345,796,630,818,Dec2019 03:27PM,6
730,694,836,717,Gst 3,0
208,888,482,917,Dine Im,7
194,929,464,951,1 2Pizza Per0238,8
248,972,636,987,Per Pan Spiced Raneer,8
245,1010,615,1034,Per Pan SoyA Hasala.,8
205,1055,500,1080,1 Potato Criricher,8
688,908,794,933,298,0
488,1046,597,1096,iAT,0
697,1035,800,1061,129,0
220,1143,361,1166,Sub Tota,0
226,1179,363,1208,CGST 2.5,0
224,1227,366,1250,SGST 2.5,0
226,1269,385,1290,Total Due,9
697,1121,802,1144,427,0
720,1162,805,1187,10.68,0
721,1203,807,1229,10.68,0
598,1252,806,1270,448,10
230,1354,569,1367,SAC-996331,
234,1438,764,1440,3. 15 off on Al-a-carte items,
289,1478,372,1507,only.,
238,1524,799,1524,Get discount code after survey.,
241,1562,682,1574,write code in space below,
243,1608,486,1626,Discount Code:,
245,1649,722,1657,Hand over bill for discount,
251,1734,616,1747,Terms and conditions:,
251,1777,794,1782,Offer valid at tis store only.,
253,1817,819,1824,Discount valid only your next,
256,1866,821,1866,visit. vattor 30 days from,
258,1903,438,1928,date of vi,
402,1976,710,1999,DigitaSighature,
140,2161,146,1700,www.pizzahut.co.in,
94,1258,101,796,www.pizzahut.co.in,
53,359,77,38,www.pizzahu,
