xmin,ymin,xmax,ymax,Object,label
369,209,563,227,TAX INVOICE,0
407,248,542,271,Original,0
425,289,691,305,Pizza Hut India,1
339,339,599,352,PH Pheonix Mall,2
218,388,726,389,SAPPHIRE FOODS INDIA PUT LTD.,0
256,428,697,434,CIN-U93090MH2009PTC197005,0
242,472,717,475,GST IN NO.- 36AANCS5595A1Z2,0
310,549,668,565,Invoice No. T17847917,4
162,645,433,665,9000013 Abdul R,0
432,715,570,742,CHK 9398,0
415,765,505,776,Stone,0
354,807,515,826,vec19.,0
148,732,267,753,Tbl 4/1,0
747,701,853,723,Gst 3,0
241,895,461,920,Dine In,7
216,936,454,966,1 2Pizza Perel,8
267,980,601,995,Per Pan Margherita,8
268,1023,639,1033,Per Pan Classic Corn,8
440,868,657,936,Hut,0
708,915,811,939,198,0
238,1110,391,1131,Sub Total,0
239,1153,382,1176,CGST 2.5,0
240,1195,387,1217,SGST 2.5,0
244,1235,402,1257,Total Due,9
717,1084,821,1111,198,0
751,1127,824,1152,4.95,0
754,1169,826,1194,4.95,0
614,1217,823,1235,208,10
247,1320,586,1333,SAC-996331,
229,1402,781,1408,3. 15 off on Al-a-carte items,
306,1444,390,1472,only.,
255,1489,816,1494,Get discount code after survey.,
258,1538,700,1540,write code in space below,
260,1575,503,1592,Discount Code:,
261,1618,739,1629,Hand over bi for discount,
267,1702,608,1720,Terms and nditime,
268,1745,421,1766,Offer val,
269,1787,835,1791,Discount alig y your next,
272,1836,483,1852,visit. valid,
274,1872,516,1889,date of visit.,
566,1726,810,1750,iSstore only.,
651,1811,837,1832,days from,
418,1948,719,1966,Digital Signature,
136,1986,164,1522,www.pizzahut.co.in,
102,1085,114,623,www.pizzahut.co.in,
