xmin,ymin,xmax,ymax,Object,label
372,245,204,214,DIOANI XVI,0
70,278,324,300,AMAR COMMUNICATION,1
76,309,445,318,"PDeix Market City, Unit no. F-23, 1st",2
70,332,427,344,"Fion, No. 142, Velachery Main Road,",2
75,357,250,377,"Velachery,Chennai",2
73,384,289,400,FI NO: 1800 103 6286,0
77,408,476,413,Citstomer Support: service.inxiaorni.ccn,0
82,433,384,443,Cotomer Holline: 1800 103 6286,0
85,455,325,468,GTIN: 33AAJPA0537D1ZH,0
72,481,286,492,PAN NO: AAJPA0537D,0
77,505,406,511,S ate Name Code: Tamil Nadu33,0
75,559,388,564,ivoice Date: 2019-10-1917:26:13,6
66,583,371,595,11.voice NO.: SMN0016101901384,4
79,604,371,619,Cder NO. SA1191019489711832,0
75,629,372,641,Cist. Name: VENKATESH PRASAD,0
73,650,266,662,Cist. PH: 9600555924,0
131,696,58,683,ON Nd,0
75,698,252,711,S ate Name Code:,0
81,722,207,738,ace af Supply:,0
194,769,455,782,Mi Flex Phone Grip and Star,8
324,811,455,826,GoodsID: 2354,8
271,838,444,853,HSNCODE: 392690,8
69,815,151,833,Description,7
58,893,163,914,Piceincl.tax,
254,889,296,905,CGST,
430,907,383,896,1S95,
265,936,256,923,6,
412,932,403,919,6,
249,966,279,984,QTY,
347,968,430,988,Totalincl.ta,
68,970,97,987,.ST,
46,993,92,1011,"1,36",
183,989,138,977,1S9S,
139,991,192,1009,11.36,
398,1010,378,995,64,
38,1045,146,1062,5. IB TOTAL:,
392,1049,423,1063,126,
28,1077,179,1086,GRAND TOTAL:,
46,1117,99,1134,T DTAL:,
125,1111,47,1093,INNODS,
54,1173,413,1201,"his is a computer generated invoice, sc",
110,1199,335,1230,no signature is required,
92,1232,336,1252,AMAR COMMUNICATION,
42,1245,401,1275,"Phoenix Market City, Unit no. F-23, 1st",
45,1269,393,1302,"Floor, No. 142, Velachery Main Road,",
133,1297,303,1326,"Velachery,Chennai",
17,1339,218,1365,rms and conditions:,
18,1363,409,1398,Product once sold will not be returned or,
20,1396,338,1419,hanged Uncler any circumstance.,
30,1412,404,1448,1 case of any manufacturing or Technica,
15,1430,402,1471,ue within 7 days of purchase please visit,
22,1460,380,1488,i service centre for DOA certificate and,
9,1483,340,1509,ing it to Mi Home within 48 hrs for,
10,1503,114,1524,platement.,
19,1525,386,1548,cep a copy of this invoice to claim any,
52,1580,17,1570,510111,
