xmin,ymin,xmax,ymax,Object,label
96,128,780,184,PATISSEZ RESTO CAFE,1
271,198,612,224,PHONEIX MARKET CITY,2
361,242,523,268,VELACHERY,2
188,287,695,313,CHENNAI - TAMILNADU - 600042,2
308,332,577,359,Ph: 09854623288,0
2,424,422,449,Date : 30-12-2019 14:36,6
5,470,276,499,Bill: Bill-2454,4
3,516,202,544,Table : P10,0
4,556,257,589,Waiter: Joyson,0
645,510,878,541,Order: Dining,0
700,553,880,582,Guests : 2,0
4,652,147,682,QTY Item,7
664,646,733,676,Rate,0
810,645,877,675,Cost,0
37,739,879,762,1 BURNT TOMATO AND CHILLI C... 215.00 215.00,8
81,790,404,816,FRIED POTATO ROSTI,8
628,782,879,809,260.00 260.00,0
627,828,878,855,245.00 245.00,0
627,874,879,898,305.00 305.00,0
628,918,879,944,455.00 455.00,0
626,964,879,991,465.00 465.00,0
626,1008,880,1035,310.00 310.00,0
7,790,15,821,1,0
79,836,424,862,CHEESE GARLIC BREAD,8
8,882,15,911,1,0
80,880,407,906,SIMPLE GREEK SALAD,8
34,920,406,950,1 FISH ORLY - ICIOUS,8
7,965,205,1000,1 GO PINK,8
78,1016,442,1042,MICHEAL JACKSON MINI,8
755,1097,880,1125,2255,0
79,1108,238,1136,Sub Total,0
79,1154,424,1176,Discount Percentage,0
80,1200,371,1223,Service Charge 5,0
78,1246,224,1274,CGST 2.5,0
76,1292,224,1320,SGST 2.5,0
79,1338,241,1365,Round off,0
77,1382,275,1408,Grand Total,9
739,1157,880,1171,-563.75,0
792,1187,881,1217,84.57,0
782,1225,885,1263,44.41,0
792,1277,875,1307,44.41,0
811,1322,881,1352,0.37,0
760,1367,881,1397,1865,10
10,1472,260,1500,Payable amount,
759,1457,882,1488,1865,
248,1561,607,1583,Thanks Visit Again,
