xmin,ymin,xmax,ymax,Object,label
112,242,614,344,COLD STONE,0
146,420,648,462,Cold Stone Creamery,1
681,427,755,454,Pvt,1
761,495,168,467,1 12.0.p Mati 99 toop pro 100 punog,2
238,500,767,524,"PMC, Velacheri, Chennai-600042",2
610,560,325,533,003039 N 4a,0
150,565,844,597,Email :coldstone.pmcchennaidin.tablez.co,0
359,637,647,669,TAX INVOICE,0
183,702,476,729,: STNO1A1920131792,4
130,727,83,703,AU I,0
83,769,151,789,Name,0
322,770,522,801,"CS Creamery,",0
595,794,546,777,"MC,",0
417,858,101,833,ONI NL O sep,0
549,895,422,870,VONOHHON,0
545,908,612,927,Time,5
318,903,380,924,": G, 16",0
82,937,364,962,Sr Barcode/Name,7
639,915,752,928,:20:08,6
771,965,667,947,Junoury,0
433,998,350,980,06-RI,0
152,1041,380,1062,SFG CHOCOLATE,0
152,1074,434,1102,FG Fudge Topping,0
362,1129,191,1107,IIIYM ON,0
204,1178,375,1197,Sub Total:,0
650,1183,750,1203,145,0
683,1215,752,1235,3.62,0
684,1248,750,1268,3.62,0
666,1289,749,1301,-0.24,0
390,1297,387,1284,:,0
202,1309,286,1328,Total,9
648,1316,749,1334,152,10
76,1343,181,1363,MASTER,
76,1411,266,1430,SAC: 996331,
466,1502,76,1478,6Z IH60T0 :NILSO,
164,1607,303,1629,Feedback,
362,1608,834,1637,info.coldstonein.tablez.cc,
333,1629,330,1617,:,
163,1676,641,1699,Connect with us on Facebook,
