xmin,ymin,xmax,ymax,Object,label
206,320,449,350,FLAME GRILED CHICKEN,0
253,349,412,385,Galitos,1
72,378,519,427,"Unit No: UG-41, PMC,0ld Door.No. 66",2
133,403,531,455,"Door No. 142, Velachery,Chennai",2
550,411,589,430,New,2
289,454,361,477,Ph No.,0
387,479,465,506,Email:,0
216,538,436,570,TAX INVOICE,0
53,597,326,643,Inv : LTNO2B1920003473,4
408,631,521,653,13-Nov-19,6
49,654,99,676,Name,0
48,677,122,706,Mobile,0
41,715,231,743,Address : TN IND,0
213,664,461,701,": Galitos, PMC, Chennai",0
205,709,194,693,:,0
43,740,117,761,Server,0
50,757,111,781,Table,0
53,785,249,818,Sr Barcode /Name,7
210,742,295,771,: ANAND N,0
214,769,263,790,": G,A4",0
374,779,518,810,Time : 13:36,6
365,815,409,837,Qty,0
455,820,528,838,Amount,0
91,827,278,850,QUARTER CHICKEN,8
451,838,524,861,190,0
87,851,247,869,MILD BASTING,0
266,861,302,877,GAL,0
88,878,276,902,QUARTER CHICKEN,8
91,893,309,923,MILD BASTING . GAL,0
440,898,512,918,190,0
246,952,110,921,ES IVN-I-MOI,8
384,959,363,945,0,0
438,948,511,967,220,0
133,976,247,1001,Sub Total:,0
118,1011,266,1027,Total Diso:,0
134,1029,254,1057,CGST 2.50,0
129,1054,252,1084,SGST 2.50,0
112,1089,261,1104,Round Off :,0
111,1113,207,1128,Total :,9
437,1000,509,1021,600,0
436,1026,509,1045,190,0
454,1043,516,1067,10.25,0
455,1071,515,1092,10.25,0
454,1097,514,1118,-0.5,0
433,1130,506,1149,430,10
435,1151,519,1175,431,
39,1184,189,1209,SAC : 996331,
20,1208,317,1243,GSTIN : 33AAFCG7385L125,
23,1235,359,1278,CIN : U15400KL2014PTC037284,
19,1297,279,1332,Authorised Signatory,
49,1348,151,1377,Thank-you,
234,1349,364,1385,Visit Again,
15,1395,85,1417,Name :,
7,1443,162,1469,Mobile No. :,
5,1521,114,1537,Signature,
