xmin,ymin,xmax,ymax,Object,label
220,314,663,447,Galitos,0
285,462,623,482,FLAME GRIILED CHICKEN,0
353,492,587,522,Galitos,1
92,545,848,566,"Unit No: UG-41,FMC,01d Door.No.66, New",2
181,579,759,610,"Door No.142,Valachery, Chennai",2
413,620,522,642,Ph No.,0
552,655,662,680,Email:,0
310,736,634,764,TAX INVOICE,0
54,848,487,867,Inv : LIN02A1920014094,4
609,842,784,864,23-Nov-19,6
51,924,128,946,Name,0
301,921,683,945,": Galitos, PMC,Chennai",0
51,960,168,984,Mobile,0
222,996,349,1019,: TN IND,0
298,1033,493,1058,: BISHWAJIT,0
311,1071,391,1099,": G,A3",0
51,999,186,1021,Address,0
54,1036,170,1057,Server,0
54,1074,149,1096,Table,0
571,1069,647,1092,Time,5
703,1066,812,1090,: 19:20,6
56,1115,369,1138,Sr Barcode/Name,7
571,1110,628,1138,Qty,0
709,1109,826,1131,Amount,0
130,1155,331,1175,MOMBO MINT,8
533,1152,608,1174,1,0
693,1150,807,1171,180,0
196,1234,383,1254,Sub Total:,0
693,1230,808,1250,180,0
195,1272,412,1300,Total Diso:,0
195,1309,410,1328,CGST e 2.50,0
210,1344,410,1367,SGST 2.50,0
693,1268,808,1289,100,0
732,1304,808,1325,"2,00",0
732,1343,807,1364,2,0
195,1385,325,1406,Total :,9
715,1381,809,1403,84,10
55,1428,113,1450,COD,
715,1423,809,1445,84,
78,1503,311,1524,SAC : 996331,
57,1541,510,1561,GSTIN : 33AAFCG7385L125,
56,1578,589,1598,CIN : V15400KL2014PTC037284,
74,1650,485,1679,Authorised Signatory.,
107,1723,275,1755,Thank-you,
398,1725,595,1753,Visit Again,
56,1806,167,1827,Name :,
56,1881,294,1909,Mobile No. :,
59,1995,267,2016,Signature :,
