xmin,ymin,xmax,ymax,Object,label
1080,215,1020,286,s Pizza,0
1001,391,928,557,Dominos Pizze,0
915,657,829,837,Dominas Pizza,0
810,939,727,1111,Da minas Pixxg,0
717,1206,638,1374,Daiminas Pizze,0
622,1471,544,1642,Dominos Pizze,0
488,198,401,379,ezzid sapuIu0g,0
224,919,315,751,Deminos PizzGI,0
203,1024,136,1169,"DzZid 5,ouIuc",0
321,651,405,478,Dominos Pizze,0
27,1468,120,1287,Dominos Pizza,0
503,97,560,12,Domino,0
868,246,715,155,3JI0ANI,0
578,161,872,320,Jubilant FoodWorks Limited,1
679,254,771,317,PAID,0
485,248,896,433,"FC-10 , Food Court Area ,3rd Floor",2
680,368,936,477,PH: -186021000O State,0
620,381,714,444,Code:33,0
584,406,722,477,044-30083597,0
473,426,818,571,Invoice Number :66377/19/56116,4
740,582,812,643,8:02 PM,6
522,554,414,490,G107/:6,0
410,515,652,621,Server: DILLI BABI S,0
494,621,655,701,Dine In,0
539,674,589,718,guest,0
400,686,621,795,1 Rey ND KADHAI PNR,8
695,801,759,846,215,0
684,869,737,910,66,0
366,782,565,884,1 Re NHT Pnr Pepp,8
387,860,539,946,DV RegPize149,8
358,885,556,991,Re MHT Dbl Che Mar,8
366,922,520,1009,DV RegP1z119,8
316,938,531,1054,1 Re NHT Fresh Veggi,8
347,983,501,1072,DV RegPize119,8
285,998,529,1116,4 Sachet Sachet 0.9,8
255,1040,520,1150,4N Jalap Dip 23.80,8
609,1058,669,1100,185,0
606,1091,658,1131,66,0
598,1145,648,1193,95.2,0
586,1177,636,1226,57.14,0
452,1213,586,1287,692.14,0
331,1193,189,1126,10 gns,0
559,1289,606,1329,17.3,0
549,1320,597,1361,17.3,0
158,1178,338,1272,SGST/UIGT 2.5,0
135,1218,375,1321,GST18-SISI9CGST9,0
397,1375,528,1445,726.74,10
456,1420,528,1471,726.74,0
157,1297,240,1348,Total,9
127,1325,166,1363,Cash,
117,1386,173,1435,Due,
68,1442,508,1613,"IN:33AAB:D182101ZI,PAN Nlo.:AABCD1821C",
197,1524,288,1576,HSN:9963,
210,1559,445,1653,www.doiinos.Co.in or,
9,1492,143,1558,Ur der onlin,
