xmin,ymin,xmax,ymax,Object,label
203,172,259,183,TAX,0
295,155,492,141,INVOICE,0
151,246,545,204,Jub lant foodWorks Limited,1
309,262,430,265,PAID,0
123,379,626,312,"FC-10 , Food Court Area ,3rd Floor",2
71,432,285,419,Chennai-600042,2
386,370,692,340,PH:-18602100000 State,0
335,420,459,432,Code:33,0
315,469,492,463,044-30083597,0
210,577,629,523,Invoice Number:66377/19/55839,4
182,624,442,598,Order: 136,0
202,663,346,660,11/15/2019,6
209,703,518,661,Server: DILLI BABU S .,0
569,586,666,593,9:42 PM,6
361,747,557,728,Dine In,0
432,768,505,779,GUEST,0
302,870,569,839,1 Pasta NVg IT WHPas,8
655,794,739,799,145,0
278,948,434,946,Sub ot,0
249,999,396,993,CGST 2.5,0
257,1036,490,1009,SGST/UTGST 2.5,0
264,1072,548,1039,GST18-SHST9CGST9,0
567,889,731,878,145,0
719,894,776,905,3.63,0
726,930,784,941,3.63,0
735,965,794,976,0,0
303,1143,441,1139,Total,9
317,1178,379,1194,Cash,0
617,1068,776,1065,152.24,10
694,1092,779,1097,152.24,
327,1258,416,1266,Due,
687,1172,800,1170,0,
301,1345,857,1236,"TIN:33AABCD1821C1ZI,PAN No.:AABCD1821C",
504,1334,623,1331,HSN:9963,
292,1427,817,1323,Order online at www.dlominos.co.in or,
301,1464,869,1356,download the new Dominos app. We accept,
308,1504,894,1389,"Credit Card. Debit Cards, Cash and PayTM",
344,1530,882,1435,A Both on Dine-In and Delivery Qrders,
386,1555,944,1453,Oregano and Chilli Flakes sachets serv,
324,1610,972,1486,gel along wi h your order are for immediate,
339,1651,965,1527,Bonsumption enly. Please do not store for,
506,1649,790,1609,tuture consumption.,
282,1404,267,1186,Domimos Piz3o,
219,1076,196,855,Dominos Pizza,
153,751,116,514,Dominos Pizza,
61,394,41,186,Dominos Piz9,
868,1045,898,1265,Dominos Pizze,
791,724,818,941,Dominos Pizzo,
728,397,741,624,Dominos PixIG,
662,71,683,279,Beminos PixzE,
