xmin,ymin,xmax,ymax,Object,label
174,226,479,194,TAX INVOICE,0
162,296,526,249,Jubilant FoodWorks Limited,1
306,306,421,307,PAID,0
132,408,605,333,"FC-10 , Food Court Area ,3rd Floor",2
97,452,284,439,hennai-600042,2
380,396,693,353,PH: -18602100000 State,0
333,440,450,443,Code:33,0
327,476,481,469,044-30083597,0
213,570,616,515,Invoice Number:66377/19/54268,4
217,604,409,590,Order:82,0
203,643,330,641,11-07-2019,6
209,677,489,642,Server: J Nivethitha,0
561,568,659,569,6:44 PM,6
359,715,551,699,Dine In,0
394,743,533,734,MANIKANDAN,0
299,828,578,795,1 Re NHT Cornn Chee,8
388,847,419,863,Gh,0
318,892,469,885,1 Vej Parcel,8
320,926,601,891,3 Sa het Sachet 0 9,8
648,758,728,762,165,0
675,819,744,827,39,0
632,839,680,858,eild,0
696,849,752,860,2.85,0
307,998,457,993,Sub ot,0
284,1042,427,1033,CGST 2.5,0
293,1075,514,1049,SGST/UTGST 2.5,0
300,1109,569,1071,GST18-SIST9CGST9,0
583,942,745,931,206.85,0
733,945,790,956,5.17,0
741,978,798,990,5.17,0
750,1012,807,1023,0,0
336,1171,467,1165,Total,9
350,1203,421,1211,Cards,0
625,1106,787,1096,217.19,10
708,1123,792,1130,217.19,
360,1270,444,1276,Due,
704,1195,812,1198,0,
313,1347,867,1258,"GSTIN:33AABCD1821C1ZI,PAN No.:AABCO1821C",
530,1338,643,1334,HSN:9963,
331,1417,824,1335,Grder online at www.dominos.co.in or,
335,1445,877,1361,dnluad the new Dominos app. We accept,
366,1478,900,1391,"redit Card. Debit Cards, Cash ani PayTM",
405,1504,887,1426,Roth on Dine-in and Delivery Orders,
426,1520,942,1443,Oregano and Chilli Flakes sachets serv,
415,1562,964,1473,along wi.h your order are for iamediate,
387,1597,965,1504,consumption only. Please do not store for,
536,1602,803,1568,future consuMIption.,
604,4,607,113,10s Pizza,
651,191,669,383,Dominos Pizza,
723,473,747,661,Deminos Pizze,
791,750,814,934,Dominos Pizz,
859,1025,885,1223,Domines Pizza,
937,1312,950,1501,"Dominas Pizza,",
28,245,34,148,Bominos,
93,507,65,313,Daminos Pizze,
238,1056,219,864,Dominos PiIza,
305,1334,281,1146,Dominos PixzE,
