xmin,ymin,xmax,ymax,Object,label
75,2065,166,1819,Pomings PIZI,0
150,1686,232,1417,Dominos Pizza,0
224,1261,320,1000,Dominos PizzN,0
314,857,408,585,Dominos PizzS,0
404,440,498,168,Dominos Pizzs,0
1052,1451,1149,1184,"SZZJA 8,0amog",0
1240,780,1178,1056,Dominos Pizz8,0
1330,354,1233,621,Dominos Pizza,0
694,232,1115,360,TAX INVOICE,0
633,316,1138,464,Jubilant FocdWorks Limited,1
812,402,965,473,PAID,0
521,445,1186,622,"FC-10 , Food Court Area ,3rd Floor",2
434,474,703,564,Chennai-600042,2
851,559,1256,689,PH: - 18602100000 State,0
762,589,912,661,Code:33,0
713,630,940,711,044-30083597,0
523,690,1086,847,Invoice Number:b6377/19/54453,4
508,735,808,832,Order:135,0
465,778,633,843,11/8/20 19,6
450,824,867,945,Server: DILLI BABU S:.,0
976,884,1104,945,9:21 PM,6
622,954,884,1045,Dine In,0
702,1019,780,1074,guest,0
480,1070,698,1154,1 MIRINDA 60,8
471,1116,846,1234,6 Sachet Sachet 0.9,8
451,1161,817,1280,2 Re HT PM Capsicun,8
549,1235,577,1274,Gk,0
984,1183,1073,1235,57.14,0
992,1234,1060,1281,5.7,0
948,1272,1052,1331,150,0
374,1294,572,1370,Sub ot,0
311,1335,500,1406,CGST 2.5,0
304,1380,610,1476,SGST/UTGT 2.5,0
293,1427,678,1543,GST18-SIST9XCGST9X,0
767,1379,989,1466,212.84,0
961,1472,1029,1520,5.32,0
951,1520,1018,1568,5.32,0
940,1566,1008,1616,0,0
346,1535,478,1597,Total,9
307,1579,374,1627,Cash,0
716,1615,936,1699,223.48,10
869,1700,918,1742,500,
278,1669,494,1756,Change,
686,1756,905,1841,277,
170,1743,935,1945,"GSTIN:33AABCD1821C1ZI,PAN No.:AABCD1821C",
425,1847,596,1919,HSN:9963,
132,1834,836,2022,Drder online at www.dominos.co.in or,
142,1884,881,2084,download the new. Dominos app. We accept,
130,1927,893,2139,"Credit Card. Debit Cards, Cash and PayTM",
195,1997,851,2174,Both on Dine-In and Delivery Orders,
197,2039,871,2219,Oregano arnd Chilli Flakes sachets se,
92,2064,901,2274,ed along wich your order are for immediae,
120,2120,910,2327,consumpt ion only. Please do not store for.,
288,2205,655,2321,future consumption.,
