xmin,ymin,xmax,ymax,Object,label
963,220,894,407,Domines PixZE,0
895,510,830,685,Domines PizzG,0
835,777,752,971,Beminos Pizze,0
746,1076,672,1261,Dominos Pizza,0
667,1366,591,1546,Bomines Pize,0
599,1646,560,1685,Dom,0
201,814,281,626,Dominos Pizza,0
138,1095,200,929,Dominos Pizza,0
271,506,357,365,Dominos Pizza,0
780,254,505,162,310ANI XVL,0
473,212,796,333,Jubriant foodWorks Limited,1
494,326,833,441,food Court Area 3rd Floor,2
602,391,879,489,FH: -18602100000 State,2
330,335,499,399,Chennai-600042,2
541,420,644,474,Code:33,0
505,449,654,508,044-30083597,0
389,457,756,587,Invoice Number:66377/19/57010,4
528,549,338,469,16:J3p 10,0
683,610,779,657,7:06 PM,6
334,511,459,574,11/21/2019,6
339,541,541,629,Server: NaiuKinI,0
448,643,620,725,Dine Tn,0
440,690,590,757,BALACHANDRAN,0
337,725,585,823,2 Re NHT KADHAI PNR,8
366,769,548,850,:DV RegPiz149,8
327,794,476,868,1 PO A10 CHESE,8
357,838,559,927,PN- AddOnSid 49,8
662,825,732,867,430,0
218,943,408,1027,SGST/UTGST 2.5,0
649,1056,693,1099,8.63,0
200,1087,243,1122,Cash,0
608,1221,564,1187,0,0
122,1207,623,1360,"iTIN:33AABCD182IC1Z1,PAN No. :AABCD1821C",0
89,1324,575,1491,"edil Catd. Debil Casds, Cash and PayIM",0
101,1363,559,1511,6 Buli on Dine In aml Delivrry Orders,0
81,1387,595,1551,40regano and ChilliFlakes sacheels serv,0
43,1425,586,1581,ed along wi h your order are tr inmediate,0
57,1449,582,1614,Consumption 0oly. Please o not store for,0
167,1518,416,1603,luture consumption.,0
