xmin,ymin,xmax,ymax,Object,label
176,221,476,182,TAX INVOICE,0
163,296,523,244,Jubilant FoodWorks Limited,1
303,306,410,308,PAID,0
133,413,600,337,"FC-10 , Food Court Area ,3rd Floor",2
84,459,281,448,Gennai-60042,2
364,400,663,359,PH: -18602100000 State,0
327,447,437,447,Code:33,0
307,488,472,476,044-30083597,0
208,576,604,524,Invoice Number:66377/19/61946,4
179,621,426,598,Order:176,0
196,655,333,652,12/14/2019,6
202,690,477,659,Server: J Nivethitha,0
548,581,645,583,4:46 PM,6
347,733,536,717,Dine In,0
403,756,499,761,KARTHIK,0
290,850,561,819,1 Re NHT IND TAND PN,8
373,871,400,890,Iw,0
290,925,576,887,2 Sachet Sachet 0.9,8
627,781,710,785,235,0
671,843,725,855,1.9,0
271,1000,432,991,Sub ot,0
258,1040,396,1033,CGST 2.5,0
269,1070,484,1050,SGST/UTG ST 2.5,0
273,1108,532,1076,GST 18-SIST9CGST9,0
555,938,718,931,236.9,0
706,943,762,956,5.92,0
713,977,769,989,5.92,0
721,1011,778,1023,"0,00",0
308,1171,437,1170,Total,9
329,1201,632,1167,Cards ini a o,0
593,1111,759,1101,248.74,10
676,1129,761,1137,248.74,
331,1276,412,1283,Due,
707,1196,780,1206,0,
283,1355,834,1270,"GSTIN:33AABCD1821C1ZI,PAN No.:AABCD1821C",
495,1348,606,1351,HSN:9963,
297,1420,793,1351,der onlin: at www.dominos.co. in or,
305,1455,842,1379,Gownload the new Dominos app. We accept,
313,1490,865,1411,"sedit Card. Debit Cards, Cash and PayTM",
368,1521,853,1457,Both on Dine-In and Delivery Orders,
333,1553,906,1467,SOregano and Chilli Flakes sachets serv,
334,1589,914,1502,Ea along wi:h your order are for immediate,
357,1625,920,1533,consumption only. Please do not store for,
493,1629,758,1602,future consumption.,
619,2,640,181,Dominos Pizza,
694,315,710,510,Dominos Pizza,
759,638,778,832,Dominos Pizza,
829,959,851,1152,Dominos Pizza,
903,1282,925,1477,Dominos Pizza,
53,315,38,133,Dominos Pizza,
198,960,177,767,Dominos Pizza,
125,639,106,443,Dominos Pizzu,
265,1281,249,1086,Dominos Pizza,
