xmin,ymin,xmax,ymax,Object,label
167,182,247,183,TAX,0
277,158,463,138,INVOICE,0
150,244,508,196,Jub ilant FoodWorks Limited,1
289,251,403,254,PAID,0
118,361,584,289,"FC-10 , Food Court Area ,3rd Floor",2
69,409,266,394,Chennai-600142,2
359,349,644,314,PH: -18602100000 State,0
312,397,425,399,Code:33,0
294,440,459,431,044-30083597,0
195,536,589,485,Invoice Number:66377/19/57880,4
167,579,414,556,Order:256,0
186,615,323,616,11/24/2019,6
193,652,409,634,Server: Nandhini,0
534,542,629,545,6:57 PM,6
339,698,524,682,Dine In,0
360,729,521,722,SHARATHKUMAR,0
270,824,548,786,2 Rej NHT KEEMA D PIA,8
338,846,503,832,:DV RegPiz99,8
286,892,562,852,2 Sachet Sachet 0.9,8
611,745,692,747,330,0
597,796,699,780,-132,0
654,805,706,815,1.9,0
267,968,423,956,Sub ot,0
253,1007,387,1000,CGST 2.5,0
260,1041,474,1015,SGST/UTGST 2.5,0
267,1076,524,1040,GST 18X-SIST9CGST9,0
568,898,699,887,199.9,0
686,903,743,912,5,0
694,937,750,947,5,0
702,971,757,981,0,0
302,1138,428,1134,Totai,9
316,1172,371,1184,Cash,0
578,1073,738,1061,209.9,10
671,1088,739,1094,209.9,
323,1244,404,1249,Due,
653,1164,760,1163,0,
275,1325,811,1226,"GSTIN:33AAB D1821C1ZI,PAN No.:AABCD1821C",
485,1314,594,1312,HSN:9963,
288,1398,771,1308,Order onlin: at www.dominos.co. in or,
297,1432,820,1338,wnload the new Dominos app. We accept,
297,1463,843,1368,"Aedit Card. Debit Cards, Cash and PayTM",
358,1491,830,1411,Buth on Dine-In and Delivery Orders,
314,1527,884,1426,SOregano and Chilli Flakes sachets serv,
339,1557,891,1461,E along with your order are for immediate,
328,1599,899,1496,Bonsumpt ion only. Please do not store for,
483,1602,734,1564,tuture consumiption.,
608,32,629,196,Dominos Pizza,
683,329,698,528,Dominos Pizza,
745,654,765,852,Dominos Pizza,
815,971,837,1165,Dominos Pizze,
888,1296,909,1493,Dominos Pizza,
45,317,41,157,Dominos Pizza,
124,655,97,441,Dominos Pizza,
201,980,179,788,Dominos Pizza,
263,1301,248,1106,Dominos Piza,
