xmin,ymin,xmax,ymax,Object,label
1063,177,1014,233,Pizze,0
1018,330,942,513,Domines Pizza,0
935,628,855,826,Dominos Pize,0
845,931,769,1127,Dominos PizzE,0
764,1238,685,1434,Dominos PizzO,0
679,1548,603,1707,Dominos Piza,0
341,357,425,161,Dominos Piza,0
249,666,335,468,Dominos Piza,0
167,968,255,772,Dominos Piza,0
77,1273,160,1079,Dainos Pizza,0
858,248,561,144,310ANI V.L,0
508,197,870,324,Jlbilant foodWorks Limited,1
720,315,618,265,OIVD,0
539,320,901,434,"Food Court Area ,3rd Floor",2
656,382,963,487,PH: - 18602100000 States,0
590,401,693,457,Code:33,0
550,430,712,499,044-30083597,0
426,289,486,333,FC-10,0
380,314,548,383,ennai-600042,2
411,473,809,606,Invoice Number:66377/19/57521,4
364,532,494,597,11/23/2019,6
350,566,567,652,Server: Nandhini,0
734,632,824,679,7:31 PM,6
494,716,612,774,sushmitha,0
354,750,628,848,1 Ve Prem Burger Piz,8
712,848,785,889,135,0
714,881,775,922,57.14,0
471,844,421,799,90,0
688,978,596,921,LZ6,0
713,993,760,1029,4.8,0
243,869,377,928,CGST 2.5,0
233,903,453,985,SGST/UTGST 2.5,0
225,1015,350,1074,Total,9
221,1053,283,1094,Cards,0
592,1149,668,1196,201.74,10
266,1168,191,1122,and,
136,1181,672,1348,"TIN:33AABC01821C1ZI,PAN No.:AABCD1821C",
87,1241,594,1405,der online at www.dominoS.co.in or,
75,1279,624,1457,download the new Dominos app. We accept,
64,1315,632,1499,"Credit Card. 0ebit Cards, Cash and PayTM",
103,1366,600,1528,Buth on Dine-In and Delivery rders,
107,1398,646,1571,Oregano and Chilli Flakes sachets serv,
74,1437,633,1604,along wi h your order are for immediate,
25,1453,635,1641,onsumption only. Please do not store fora,
169,1528,440,1625,future consumption.,
