xmin,ymin,xmax,ymax,Object,label
320,219,538,303,Reince,0
318,278,582,343,trends,0
259,439,612,452,xxxX,0
83,475,387,500,Reiiance Retai Linited,1
110,514,438,537,"F 32, PhoeniX market City.",2
87,562,411,581,142. Ueiachery Main road.,2
83,604,318,623,Chennai 600 042.,2
83,648,490,668,Store Contact Ho-044 - 66650131,0
84,691,466,710,CIN HO: U0I100MH1999PLC120563,0
435,842,285,817,33I ONHI XI,0
84,949,547,969,Piace of Supp1y State Code: 33 TN,0
85,1035,320,1055,Customer TYpe: URD,0
85,1122,546,1141,SupPiy State GSTIN: 33AABCR1718EIZW,0
484,1206,561,1227,AmtRs,0
176,1270,86,1248,JUS/NSH,0
86,1334,322,1354,POINT COUE JEGGING,8
498,1333,575,1354,899,0
86,1377,256,1397,8.90503E+12,0
339,1378,388,1398,6204,0
100,1418,283,1438,EOSSKW FLAT 30,0
526,1427,615,1439,-269.7,0
86,1548,229,1569,BALANCE DUE,0
538,1549,615,1569,629.3,0
87,1590,190,1612,Roundoff,0
553,1600,616,1611,-0.3,0
137,1654,101,1633,HSV,0
87,1675,203,1696,ChangeDue,0
527,1631,616,1653,2000 .00,0
529,1674,616,1695,1371,0
89,1717,414,1738,Totai Items Purchased 1,0
87,1805,284,1826,Payment Summary,0
100,1847,484,1870,Prices incIusive of aii Taxes,0
233,1932,481,1951,GST RECEIPT SUMMARY,0
87,2017,244,2038,HSH/SAC Tax,0
289,2016,377,2037,Taxable,0
449,2017,482,2039,Tax,0
208,2060,258,2081,Rate,0
313,2059,482,2080,Amount Amount,0
616,2080,540,2059,Iunowy,0
88,2147,137,2167,6204,0
275,2145,351,2165,599.34,0
421,2143,484,2165,29.96,0
541,2144,617,2165,629.3,0
209,2188,245,2209,2.5,0
343,2188,403,2209,14.98,0
137,2210,88,2188,1893,0
342,2230,403,2251,14.98,0
137,2251,87,2230,199S,0
90,2357,162,2382,TOTAL:,9
274,2358,352,2379,599.34,0
420,2359,485,2380,29.96,0
539,2358,617,2379,629.3,10
93,2441,219,2468,C60326448,0
261,2445,537,2465,Dr18/12/2019 21:39:43,6
90,2488,166,2507,S4827,0
263,2488,338,2509,Txn43,0
89,2530,524,2549,PaynentRefNo 4827113004318122019,0
90,2573,445,2592,TaxInvoice 482711319513138,4
247,2698,459,2721,R1 Card DetaiIS,
90,2746,339,2765,Card No..9094470988,
92,2876,593,2892,KAMOUNT INCLUS IUE OF APPLICABLE TAXES,
620,2932,230,2920,XXXXXX,
84,2953,300,2976,No Cash Refunds.,
93,3000,553,3019,For any quer ies. Piease contact the,
92,3043,527,3061,Customer Service Desk or Email at,
92,3090,395,3105,customerserviceril.com,
107,3128,514,3145,Thank You for Shopping With us.,
107,3172,276,3192,See You Soon.,
95,3214,421,3228,Store nanagers Signature:,
96,3258,372,3276,Contact : 04443320283,
97,3302,399,3319,GSTN : 33AABCR1718EIZN,
