xmin,ymin,xmax,ymax,Object,label
349,263,502,305,Rellan,0
330,292,592,344,trends,0
205,451,223,466,X,0
376,453,588,466,xxxxxxxxX,0
97,492,399,512,Reiiance Retai Limited,1
123,531,451,552,F 32. Phoenix market citY.,2
100,576,424,596,142. Veiachery Main road.,2
97,619,333,638,Chennai 60 042.,2
97,660,359,682,Store Contact No-044,0
403,661,503,682,66650131,0
96,701,480,724,CIN NO: UO1100MH1999PLC120563,0
98,746,495,770,Hebsite WNW.reianceretail.com,0
299,833,439,854,TAX INVOICE,0
98,961,559,982,Piace of Supp1Y State Code: 33 IN,0
98,1048,334,1069,Customer Type: URD,0
99,1135,560,1155,Suppiy Stte GSTIN: 33AABCR1718E1ZN,0
100,1219,202,1242,ItemName,7
378,1220,414,1242,Oty,0
498,1220,573,1241,AntRS,0
99,1263,189,1284,HSN/SAC,0
99,1348,282,1370,NE TPLAY SHIRTS,8
391,1348,398,1369,1,0
511,1348,587,1369,999,0
99,1391,269,1413,8.90503E+12,0
351,1391,402,1412,6205,0
100,1520,242,1542,BALANCE DUE,0
551,1520,627,1541,999,0
100,1562,151,1584,CASH,0
540,1562,628,1584,1000,0
103,1601,217,1632,ChangeDue,0
581,1604,628,1626,1,0
102,1647,376,1668,Totai Items Purchased,0
99,1733,296,1757,Paynent Summary,0
119,1777,494,1797,Pr ices inciusive of a11 Taxes,0
244,1859,494,1881,GST RECEIPT SUMMARY,0
100,1946,256,1968,HSN/SAC Tax,0
301,1946,388,1968,Taxabie,0
460,1947,494,1967,Tax,0
566,1946,624,1967,Totai,0
220,1989,269,2010,Rate,0
325,1988,495,2009,Amount Amount,0
551,1989,627,2010,Anount,0
100,2074,151,2096,6205,0
286,2076,362,2095,951.42,0
432,2074,495,2095,47.58,0
551,2074,628,2095,999,0
101,2115,149,2138,CGST,0
220,2117,256,2139,2.5,0
353,2117,416,2138,23.79,0
100,2160,148,2180,SGST,0
220,2160,256,2182,2.5,0
353,2160,415,2182,23.79,0
103,2288,174,2305,TOTAL :,9
287,2289,363,2309,951.42,0
433,2289,496,2309,47.58,0
552,2289,628,2310,999,10
100,2375,227,2395,C460450591,0
273,2375,548,2394,Dt20/11/2019 17:30:43,6
100,2416,178,2437,S4827,0
275,2417,350,2437,Txn35,0
446,2417,509,2437,R113,0
101,2459,536,2480,PaymentRefNo 4827113003520112019,0
103,2501,456,2523,TaxInvoicet 482711319511642,4
264,2628,475,2655,RI Card Detaiis,0
100,2674,535,2693,Card No. 8610354720 R-ONE BaiPts,
597,2681,668,2693,:10.04,
444,2761,466,2776,X,
114,2801,602,2821,ANQUNT INCLUSIVE OF APPLICABLE TAXES,
134,2848,529,2862,XXXXXXXXX,
95,2883,309,2906,No Cash Refunds.,
101,2929,562,2949,For any quer ies. Piease contact the,
101,2970,536,2993,Customer Service Desk or Emait at,
111,3013,409,3037,Customerserviceor il.com,
116,3056,523,3075,Thank You for Shopping wi th us.,
114,3099,283,3119,See You Soon.,
102,3141,427,3158,Store Managers Signature:,
102,3184,378,3205,Contact : 04443320283,
102,3226,404,3248,GSTN : 33AABCR1718EIZN,
