xmin,ymin,xmax,ymax,Object,label
336,282,600,348,trends,0
164,371,104,354,XXXX,0
163,413,100,399,XXXX,0
96,481,404,501,Retrance Rexain Limited,1
132,510,455,539,E 32. Phoen iXiarket city.,2
98,561,428,585,142. Verachery Main road.,2
97,602,345,632,Chennar a 600 042.,2
103,653,508,670,Store Contact No-044 - 66650131,0
140,716,103,692,NI3,0
108,737,499,759,Hebsite WNA.relianceretai.com,0
446,845,306,822,331ONNI KUI,0
99,954,567,972,Pjace of SuppY State Code: 33 IN,0
106,1034,344,1060,Customer Type: URD,0
101,1123,570,1146,Suppiy State GSTN: 33AABCR1718EIZM,0
111,1212,211,1235,Itemkame,7
506,1209,583,1234,AntRs,0
105,1255,201,1278,HSH/SAC,0
104,1340,252,1360,FIG TSHIRTS,8
103,1384,281,1404,8.90503E+12,0
599,1362,521,1336,00 66E,0
413,1401,363,1380,9019,0
111,1509,254,1534,BALANCE DUE,0
112,1552,246,1578,DR/CP CARD,0
128,1594,319,1619,Car dNuaber :59o1,0
643,1532,560,1503,00 66E,0
640,1572,564,1552,00 66E,0
319,1666,119,1636,101910 aPOJ4inH,0
115,1684,440,1702,Totai Items Purchased 1,0
133,1812,509,1833,Pr ices inc1USIve of a1 Taxes,0
258,1895,511,1918,6ST RECEIPT SUMMARY,0
413,2007,316,1979,al gexel,0
483,2003,475,1976,el,0
238,2024,292,2047,Rate.,0
334,2019,515,2045,Amount Amount,0
571,2022,647,2042,AMount,0
305,2110,385,2132,380,0
166,2135,113,2109,9019,0
169,2175,119,2155,189S,0
155,2190,126,2180,:: .,0
241,2152,277,2179,2.5,0
385,2151,435,2174,9.5,0
169,2218,120,2196,IS93,0
239,2196,282,2217,2.5,0
386,2194,438,2217,9.5,0
308,2325,392,2349,380,0
567,2320,651,2343,399,10
115,2408,252,2433,C60384334,0
297,2405,571,2430,Dt22/12/2019 20:10:18,6
123,2499,558,2516,PaymentketNo 4827112014622122019,0
125,2535,477,2561,TaxInvoicek 482711219531781,4
234,2671,299,2688,EX:,
511,2686,503,2668,T,
128,2713,628,2733,CAMOUNT. INCLUSIUE OF APPLICABLE TAKES,
122,2797,343,2815,No Cash Rerunds.,
129,2840,590,2857,For any quer ies. Piease contact the,
133,2880,564,2905,Custoner Service Desk or Ema ir at,
146,2970,547,2989,Thank You for Shopping Ni th US,
294,3035,147,3009,UOOS noA aas,
131,3055,459,3075,Store Hanagers Signature:,
118,3097,409,3120,Contact 04443320283,
129,3139,437,3163,GSTN : 33AABCR1718EI2N,
