xmin,ymin,xmax,ymax,Object,label
524,371,551,383,TM,0
255,451,649,461,TATA STARBUCKS PRIVATE LIMITED,1
390,490,531,507,TAX INVOICE,0
242,537,677,543,4th Floor Hew Excelsior Building.,2
338,576,572,590,"Amr it keshav Marg,",2
339,619,585,632,Fort. Mumbal-400001,2
285,663,640,673,Phoen ix Market City Chennai,2
281,703,640,715,Phoen ix Market City Chennai,2
381,745,564,761,Chenna i-600042,2
383,787,553,802,State Code:33,0
277,834,593,845,GSTIN No:33AAECTO60601Z9,0
110,965,251,982,TAX INVOICE,0
127,1046,461,1063,Invoice Ho :83244062191221,4
679,1037,836,1052,Shift Code:3,0
131,1089,425,1105,Invoice Date:21-12-2019,6
683,1078,823,1096,TI11 No:1 A,0
118,1132,387,1149,Invoice Time : 10:29 PM,6
669,1122,852,1138,Partner : Mohane,0
128,1218,242,1235,Item name,7
126,1260,229,1279,HSN code,0
312,1258,348,1279,Oty,0
406,1253,534,1273,sale price,0
631,1250,680,1269,Disc,0
740,1248,854,1266,Total Amt,0
129,1345,511,1358,Uent i Wishing star dark mocha,8
129,1390,203,1409,996331,0
461,1384,538,1402,425,0
621,1381,684,1398,0,0
780,1377,857,1396,425,0
133,1474,191,1493,Total,0
463,1468,539,1487,425,0
623,1465,685,1483,0,0
782,1461,858,1481,425,0
121,1559,263,1577,GST SUMMARY,0
122,1601,224,1620,HSN Code,0
123,1644,173,1664,CGST,0
268,1642,319,1662,SGST,0
415,1639,465,1658,Cess,0
618,1635,651,1657,ble,0
123,1687,173,1706,Rate,0
269,1684,319,1704,Rate,0
415,1682,465,1700,Rate,0
561,1678,624,1697,Value,0
124,1729,160,1748,Amt,0
270,1727,306,1746,Amt,0
416,1724,452,1743,Aat,0
736,1719,864,1736,Tax Amount,0
125,1813,199,1832,998331,0
125,1855,189,1876,2.5,0
271,1853,335,1873,2.5,0
410,1848,497,1875,"00 ,00x",0
577,1849,653,1868,425 .00,0
129,1898,190,1917,10.63,0
275,1896,336,1914,10.63,0
420,1894,482,1912,0,0
805,1887,867,1906,21.26,0
129,1986,189,2005,Total,0
805,1975,869,1993,21.26,0
129,2027,365,2042,Net Invoice Amount,9
793,2016,869,2036,446.26,10
130,2069,471,2085,Rounded Off Invoice Amount,
794,2059,870,2079,446 .00,
131,2154,326,2173,PAYMENT SUMMARY,
132,2197,315,2215,Starbucks card,
769,2188,847,2206,446,
135,2239,289,2257,Total Amount,
771,2230,847,2248,446,
708,2237,711,2246,:,
133,2282,302,2301,Amount Repald,
784,2272,847,2291,0,
135,2366,330,2384,PAYMENT DETAILS,
360,2406,649,2423,Starbucks Card Details,
136,2451,359,2468,Starbucks Card No,
736,2444,783,2462,1353,
137,2494,213,2513,Amount,
602,2488,664,2505,39,
362,2537,651,2550,starbucks Card DetallS,
137,2580,360,2597,Starbucks Card No,
724,2574,771,2593,1353,
138,2622,214,2642,Amount,
590,2618,666,2635,407,
706,2775,875,2813,handanena,
615,2857,882,2882,Author ised Signatory,
370,2951,665,2971,THANK YOU. VISIT AGAIN,
