xmin,ymin,xmax,ymax,Object,label
79,75,449,116,WOW MOMO FOODS,1
97,130,495,176,PRIVATE LIMITED,1
194,184,415,206,Palladium Chennai,2
53,223,552,243,Now China Palladium 142 Velachery Main,2
238,254,351,260,Chennai -,2
294,286,330,306,IND,2
188,353,385,375,33AABCW6316K2Z9,0
190,381,426,413,Infowowmomo.co.in,0
133,414,481,452,CIN: U15122WB2015PTC205829,0
94,444,530,485,Service Account ing Code: 00996331,0
55,354,142,365,GSTIN:-,0
60,550,163,577,CHANNEL:,0
62,587,472,619,KOT No: CHE016-CHE016-1-2604,0
64,619,449,652,Bill No: CHEO1611-1-0001529,4
67,655,314,682,Terminal: CHEO16-1,0
70,689,583,721,CashierID: CHE01601 Palladium Chennai M,0
72,722,476,752,Cust No.: 5645354353,0
75,757,318,783,Cust Name: Zoya,0
76,790,454,819,Date. 29-11-2019 Time. 17:52,6
208,553,389,581,DINE IN,0
76,856,191,875,ITEM NAME,7
323,858,549,876,QTY PRICE TOTAL,0
72,918,350,942,VEG NDLS SZECH SCREG,8
328,954,472,977,1.00 169.0,0
517,955,594,977,169,0
78,1018,179,1043,Subtotal,0
83,1047,211,1075,GST Amount,0
85,1084,147,1106,Total,9
88,1118,140,1139,HDFC,0
92,1150,246,1170,Rounding Off,0
520,1023,596,1046,169,0
546,1057,596,1079,8.44,0
523,1089,599,1113,177.44,10
526,1122,599,1144,177.44,
551,1151,602,1176,0,
284,1086,333,1108,1,
103,1244,216,1266,Component,
103,1278,153,1300,CGST,
103,1312,153,1333,SGST,
244,1224,416,1233,-GST SUMMARY--,
374,1244,411,1265,Tax,
389,1277,438,1298,2.5,
390,1311,440,1332,2.5,
271,1244,334,1265,Basis,
275,1277,348,1299,169,
276,1311,349,1332,169,
516,1244,602,1268,Tax Amt,
556,1279,605,1301,4.22,
557,1312,607,1333,4.22,
100,1381,610,1398,"Regd Off: 29/2E/1,Raja S.C.Mullick Road",
126,1416,572,1430,"Jadavpur, Kolkata Pin Code: 700032",
99,1451,586,1462,No Reverse Charges will be applicable,
99,1485,364,1504,WOW We love You...,
115,1519,422,1533,No Refunds after 10 Min,
