xmin,ymin,xmax,ymax,Object,label
376,199,599,240,croma,0
165,322,670,333,Infiniti Retail Linited Trading as,1
420,401,491,425,CROMA,1
394,485,553,509,Tax Invoice,0
302,576,554,594,Chen-Phoenix-A097,2
303,662,555,681,Chen-Phoenix-A097,2
335,748,541,769,Chennai-600042,2
289,836,588,854,Region:Tamil Nadu-33,2
246,924,634,939,Phone Number : 07207666000,0
276,1008,604,1027,GSTIN :33AACCU1726H1ZL,0
86,1102,397,1120,Invlo:SLA097010091750,4
474,1090,800,1107,Time:14-12-2019 4:35PM,6
86,1145,213,1167,Till No:1,0
85,1189,383,1205,Created By:Perumal R,0
87,1275,638,1283,Customer Name :SANKARANARAYANAN PRA P,0
326,1310,759,1323,OPLOT NO 24 SRI DHARSHINI FO,0
312,1353,445,1376,UNDATIONS,0
312,1396,655,1413,KAHBAN STREET ULLAGARAM,0
314,1440,520,1460,Madipakkam S.0,0
314,1483,641,1499,NEAR OIL MILL BUS STOP,0
314,1526,476,1548,KANCHIPURAM,0
315,1570,460,1591,Pin:600091,0
211,1615,508,1633,Region:Tamil Nadu-33,0
94,1706,329,1725,Item Description,7
274,1743,315,1768,Tax,0
95,1749,225,1772,Item Code,0
378,1739,419,1766,Qty,0
513,1736,584,1760,Price,0
634,1732,764,1755,Total Amt,0
92,1792,809,1796,DalivType DemoY/N InstY/N Delivery DateTime SN,0
94,1835,196,1858,HSN/SAC,0
97,1879,152,1904,IMEI,0
95,1922,316,1941,Customer Region,0
98,2008,676,2016,Intel McAfee Antivirus-Total Protection,8
306,2044,378,2069,5R/6R,0
99,2051,183,2074,198700,0
426,2041,633,2061,01.00 499.00,0
716,2032,812,2056,499,0
97,2094,633,2105,SH N N 14-12-2019 10:00AM 10:00AM,0
97,2137,154,2161,8523,0
100,2267,204,2296,Total :,9
727,2248,815,2271,499,10
399,2386,622,2407,PAYMENT DETAILS,
102,2483,169,2505,Cash:,
474,2471,563,2494,500,
102,2526,364,2543,Cash Amt Returned:,
476,2514,548,2539,1,
105,2693,265,2719,Tax Summary,
104,2740,790,2747,Tax Type Tax Cade Tax Rate Total Amt Tax Amt,
762,2763,835,2787,38.06,
764,2806,836,2830,38.06,
568,2769,641,2793,499,
569,2811,641,2835,499,
104,2782,131,2807,CG,
239,2778,266,2804,5R,
404,2773,446,2799,9,
103,2821,139,2851,SG,
240,2821,266,2847,6R,
404,2816,446,2842,9,
106,2868,174,2892,Total,
705,2850,776,2876,76.12,
106,2912,536,2925,PRICES INCLUSIVE OF ALL TAXES,
109,3125,509,3143,CIN : U31900MH2005PLC158120,
108,3214,776,3223,"Regd. Office - Unit No. 701 702, 7th Floor,",
109,3258,612,3271,"Kaledonia, Sahar Road,Andheri East,",
111,3345,391,3362,"Mumbai 400069, India",
112,3431,568,3444,Thank you for shopping with us.,
113,3559,723,3568,"duy yourself an electronics life, shop at",
114,3651,304,3667,Ww.croma.coM,
114,3732,574,3746,Email:customersupportcroma.com,
284,4043,802,4064,OSLAO9 701009 1 750 o,
