xmin,ymin,xmax,ymax,Object,label
253,187,684,220,TAX INVOICE,0
211,286,727,322,Jubilant FoodWorks Limited,1
389,336,545,373,PAID,0
72,438,867,470,"Phoenix Market City,Chennai,Unit No G 13",2
52,486,847,520,"Ground Floor, NewDoor 142,Velachery600042",2
320,537,698,570,PH:- State Code:33,0
351,585,588,620,044-30083412,0
183,685,758,718,Invoice Number:71059/19/49119,4
131,736,491,771,Order:124,0
146,786,339,819,11/24/2019,6
142,836,478,873,Server: Gracy M.,0
662,785,798,820,5:04 PM,6
292,933,642,968,Carry Out,0
453,982,490,1017,MR,0
225,1079,410,1118,1 COFDO 99,8
271,1133,609,1169,REGULAR CAPPUCCIN,0
408,1178,551,1226,HSN 9963,0
274,1233,507,1268,CLS GLZ MINI,0
406,1276,549,1323,HSN 9963,0
216,1327,450,1366,1 CHOCO VILLA,8
733,1083,828,1116,99,0
732,1331,830,1365,99,0
404,1381,549,1423,HSN-9963,0
203,1423,510,1463,2 Hedges 69.00,8
406,1472,551,1526,HSN 9963,0
193,1529,570,1564,2 TX MX DIP 10.00,8
406,1573,552,1625,HSN 9963,0
717,1431,828,1462,138,0
733,1529,829,1562,20,0
144,1678,373,1714,SubTot,0
114,1730,310,1764,CGST 2.5,0
115,1778,430,1811,SGST/UTGST 2.5,0
114,1828,489,1863,GST18-SGST9CGST9,0
562,1678,795,1710,356,0
772,1727,851,1761,8.9,0
773,1778,850,1809,8.9,0
773,1827,850,1861,0,0
144,1928,328,1963,Total,9
154,1978,251,2013,Cards,0
563,1928,797,1960,373.8,10
694,1977,789,2012,373.8,
132,2077,257,2121,Due,
642,2077,797,2111,0,
892,2101,939,2114,.. ...,
225,2175,720,2211,TRANSACTION ID : 14259882,
55,2271,850,2307,"GSTIN:33AABCD1821C1ZI,PAN No.:AABCD1821C",
76,2370,871,2412,Feedback:customercaredunkinjulbfood.com,
