xmin,ymin,xmax,ymax,Object,label
243,193,676,229,TAX INVOICE,0
202,294,719,330,Jubilant FoodWorks Limited,1
382,344,537,381,PAID,0
52,441,860,478,"Phoenix Market City,Chennai,Unit No G 13",2
43,495,841,535,"Ground Floor, NewDoor 142,Velachery600042",2
314,545,690,578,PH:- State Code:33,0
343,594,580,629,044-30083412,0
175,694,750,734,Invoice Number:71059/19/53136,4
123,744,480,779,Order:196,0
138,795,331,829,12/15/2019,6
134,844,431,879,Server: Gracy M,0
655,794,791,830,6:07 PM,6
325,945,598,980,Dine In,0
445,994,483,1027,0,0
325,1043,601,1077,Tent :00,0
209,1138,601,1179,1 REGULAR FLTR COFE7,8
724,1144,820,1178,79,0
135,1244,366,1280,SubTot,0
105,1294,303,1330,CGST 2.5,0
106,1344,423,1379,SGST/UTGST O 2.5,0
106,1392,483,1429,GST18-SGST9CGST9,0
595,1245,788,1277,79,0
767,1295,843,1329,1.98,0
770,1343,841,1379,1.98,0
764,1393,841,1428,0,0
137,1493,319,1531,Total,9
147,1544,224,1579,Cash,0
595,1493,788,1530,82.96,10
728,1545,781,1578,100,
138,1643,371,1678,Change,
604,1643,789,1676,17,
47,1743,842,1779,"GSTIN:33AABCD1821C1ZI,PAN No.:AABCD1821C",
70,1843,864,1876,Feedback:customercaredunkinjulbfood.com,
