xmin,ymin,xmax,ymax,Object,label
217,56,539,78,TAX INV OICE,0
186,129,572,144,Jubilant FoodWorks Limited,1
324,160,439,183,PAID,0
77,245,679,256,"Phoenix Market City,Chennai, Unit No G 13",2
61,283,666,290,"Ground Floor,NewDoor 142,Velachery600042",2
272,312,553,325,PH:- State Code:33,0
295,348,471,369,044-30083412,0
167,431,601,441,Invoice Number:71059/19/47575,4
125,470,371,489,Order:84,0
138,513,286,530,11/16/2019,6
135,552,393,567,Server: Gracy M.,0
529,488,633,508,4:21 PM,6
251,621,517,625,Carry Out,0
374,648,402,671,MS,0
315,692,463,704,7847859656,0
188,773,373,788,1 Choco Tella,8
335,802,449,827,HSN9963,0
192,853,360,868,1 TEA GINGER,8
329,883,452,898,HSN9963,0
589,747,665,767,99,0
590,822,667,843,79,0
135,978,318,989,SubTot,0
112,1020,268,1031,CGST 2.5,0
112,1059,361,1062,SGST/UTGST 2.5,0
112,1097,411,1098,GST18-SGST9CGST9,0
467,947,642,962,178,0
624,975,683,998,4.45,0
625,1014,684,1037,4.45,0
626,1054,686,1077,0,0
139,1176,284,1188,Total,9
144,1213,223,1232,Cards,0
468,1146,646,1160,186.9,10
569,1179,641,1201,186.9,
137,1292,228,1311,Due,
568,1256,649,1282,0,
203,1367,589,1365,TRANSACTION ID : 13798475,
70,1445,693,1450,"GSTIN:33AABCD1821C1ZI,PAN No.:ABCD1821C",
94,1522,707,1547,Feedback:customercaredunkinjulbfood.com,
